response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortValid,BERRY,HURRICANE,0,0,0,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
2.8325,response_2,shortValid,ACRE,GINGERBREAD,0,1,1,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
3.0116,response_4,shortValid,PIPING,MONUMENT,0,2,2,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.8926,response_2,longValid,JURY,INJURY,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.9432,response_2,longValid,CEREAL,PHOTOGRAPH,0,4,4,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
2.0267,response_1,longFoil,FERTILE,POLIO,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.6524,response_2,shortFoil,CABIN,HEROIN,0,6,6,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.7285,response_2,longValid,CAPTAIN,STRAWBERRY,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.9939,response_2,shortFoil,NATIVE,MECHANIC,0,8,8,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
2.3785,response_2,longValid,UNCLE,PROJECTOR,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.7208,response_2,longFoil,GRADUATE,ENAMEL,0,10,10,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.9774,response_2,shortValid,PERSON,FACTORY,0,11,11,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
2.6153,response_2,shortValid,KERNEL,CAMERA,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,0,0,0,9,1,,,,,
1.4925,response_2,shortFoil,HAMMER,FURNITURE,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,0,1,1,5,1,,,,,
2.6697,response_2,longValid,CIGAR,MINERAL,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,0,2,2,6,1,,,,,
2.341,response_1,,DUEL,CLARINET,,,,,,VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_human_project07.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,0,19,19,28,1
1.0204,response_2,shortValid,SHEEPSKIN,ENVELOPE,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,0,3,3,0,1,,,,,
2.4618,response_1,longValid,ANCHOR,OXYGEN,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,5c5d509a05116a0001429a28,36,Female,Right handed,2021-07-26_20h43.51.653,MA Experiment 2,2021.1.2,Win32,60.05645307,0,4,4,11,1,,,,,
