response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortValid,SULPHUR,GORILLA,0,0,0,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
2.23929,response_2,shortValid,RUSTY,INTERVIEW,0,1,1,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
3.1873,response_2,longFoil,WALRUS,ALCOHOL,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,longValid,OLIVE,GINGERBREAD,0,3,3,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
3.375745,response_1,shortFoil,CAPTAIN,ACROBAT,0,4,4,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,shortFoil,PRINCESS,DISSECTION,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,longValid,TRAITOR,MICROSCOPE,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,shortFoil,EVENING,GRASSHOPPER,0,7,7,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,longValid,BISHOP,CATHEDRAL,0,8,8,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
,,longValid,SEGMENT,AMBULANCE,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,5cc076320004360001ed90dc,44,Female,Right handed,2021-07-26_21h08.36.098,MA Experiment 2,2021.1.2,Linux x86_64,60.01680471,,,,,,,,,,
