response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortFoil,TUMBLE,STRAWBERRY,0,0,0,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.618,response_2,longValid,FAIRY,ENAMEL,0,1,1,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.1652,response_2,shortFoil,SOFA,INFECTION,0,2,2,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.1332,response_2,longValid,BURNER,CATHEDRAL,0,3,3,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
0.9157,response_2,shortValid,WIRE,CORRIDOR,0,4,4,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.2987,response_2,shortFoil,MISTRESS,HOSPITAL,0,5,5,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
0.9334,response_2,shortValid,RABBI,CAMERA,0,6,6,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.782,response_2,longFoil,INVOICE,TEMPERATURE,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
0.7653,response_2,shortValid,CAPTAIN,RETAILER,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
0.982,response_1,longValid,DIVING,AVENUE,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.4155,response_1,shortValid,SHOULDER,PROJECTOR,0,10,10,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.4325,response_1,longValid,HURDLE,CARNATION,0,11,11,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,,,,,
1.2825,response_1,shortValid,TWEEZER,POLIO,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,0,0,0,1,,,,,
1.3979,response_1,longValid,RUSTY,MEDICINE,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,1,1,3,1,,,,,
1.0822,response_2,shortValid,NOVEL,POLICEMAN,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,2,2,18,1,,,,,
1.1998,response_2,,PIANO,ATHLETICS,,,,,,NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_human_project06.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,,,,,,0,0,0,30,1
1.8155,response_2,shortValid,PICTURE,MINERAL,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,3,3,28,1,,,,,
1.4166,response_1,shortFoil,NAPKIN,PHYSICIAN,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,4,4,8,1,,,,,
0.9317,response_1,longFoil,SHEEPSKIN,INSTRUMENT,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,5,5,26,1,,,,,
1.8331,response_2,longFoil,BUTTER,OXYGEN,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,5e92f44d5321c16208625036,19,Female,Right handed,2021-07-26_21h25.46.721,MA Experiment 2,2021.1.2,Win32,60.00960154,0,6,6,33,1,,,,,
