response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.7767,response_2,shortValid,DECOY,ALCOHOL,0,0,0,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
3.1338,response_3,longValid,VESSEL,GYMNASTICS,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
2.0219,response_2,longFoil,WAFER,LECTURER,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.4679,response_2,shortValid,NATIVE,BUTTERFLY,0,3,3,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.5214,response_2,longValid,PRINCESS,UMBRELLA,0,4,4,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
2.126,response_2,shortValid,CHIPMUNK,CHOCOLATE,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.648,response_1,shortValid,KERNEL,REFEREE,0,6,6,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
2.2816,response_2,longFoil,CABIN,CROCODILE,0,7,7,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.1603,response_2,shortFoil,NECKLACE,GINGERBREAD,0,8,8,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
0.9602,response_2,longValid,MEDICINE,PROJECTOR,0,9,9,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.537,response_2,shortFoil,MISTRESS,INSTRUMENT,0,10,10,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
0.5841,response_1,shortValid,HURDLE,FURNITURE,0,11,11,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,,,,,
1.2184,response_1,shortValid,BERRY,ANTIQUE,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,0,0,5,1,,,,,
1.4007,response_1,shortValid,TRAITOR,CITIZEN,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,1,1,8,1,,,,,
0.8198,response_2,shortValid,TEMPLE,FIREWOOD,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,2,2,29,1,,,,,
1.5348,response_2,,TWEEZER,HURRICANE,,,,,,NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_comp_project06.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,0,10,10,22,1
1.2323,response_2,shortValid,NOVEL,CANDLELIGHT,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,3,3,15,1,,,,,
1.1125,response_2,shortFoil,BURNER,FISHERMAN,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,4,4,6,1,,,,,
1.362,response_2,shortValid,DIVING,RETAILER,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,5,5,16,1,,,,,
1.6622,response_1,shortFoil,SHEEPSKIN,PHOTOGRAPH,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,6,6,0,1,,,,,
1.13,response_2,,PODIUM,AMMONIA,,,,,,JOURNAL,ROBBERY,long,resources/sound/catchTrials/audio_control_human_project02.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,0,15,15,29,1
1.4465,response_1,shortFoil,MOONLIGHT,MONUMENT,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,7,7,25,1,,,,,
1.5498,response_2,shortFoil,EARTHWORM,INJURY,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,8,8,13,1,,,,,
2.5518,response_2,shortFoil,KETTLE,TEMPERATURE,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,9,9,10,1,,,,,
2.8916,response_1,longFoil,CIGAR,ALPHABET,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,10,10,28,1,,,,,
1.4501,response_2,,SINGER,SETTLEMENT,,,,,,HOBBY,COLONY,long,resources/sound/catchTrials/audio_control_human_project04.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,,,,,,0,25,25,27,1
1.5192,response_4,longFoil,CAPTAIN,HOSPITAL,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,5f2ad14b5c256a3bdf6f7e63,27,Female,Right handed,2021-07-26_20h30.15.315,MA Experiment 2,2021.1.2,Win32,143.9263097,0,11,11,21,1,,,,,
