response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.1894,response_2,shortValid,DWELLER,TANGERINE,0,0,0,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.3514,response_2,longValid,GIRDLE,NEWSPAPER,0,1,1,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.576,response_2,shortValid,STOCKING,LEMONADE,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.1906,response_2,shortValid,CABIN,JANITOR,0,3,3,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.7917,response_2,longFoil,BEETLE,POTATO,0,4,4,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.3525,response_2,longFoil,DOORWAY,ATHLETICS,0,5,5,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.5592,response_2,longFoil,TEMPLE,SAXOPHONE,0,6,6,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.2432,response_2,longFoil,MEASLES,CANDLELIGHT,0,7,7,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.1671,response_2,longValid,SHOULDER,APPLIANCE,0,8,8,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
1.201,response_2,longValid,HARBOUR,CATHEDRAL,0,9,9,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,5f95a3272d19504163e83e70,37,Female,Right handed,2021-07-26_20h36.53.930,MA Experiment 2,2021.1.2,Win32,60.08893162,,,,,,,,,,
