response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.8237,response_2,shortFoil,DWELLER,MOSQUITO,0,0,0,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
,,longFoil,ANCHOR,ATTENDANT,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
,,shortFoil,BEETLE,CITIZEN,0,2,2,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.4534,response_2,longValid,FERTILE,CAPITAL,0,3,3,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.6777,response_2,longFoil,NEIGHBOUR,LEMONADE,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
2.0488,response_1,shortFoil,CEREAL,OPENING,0,5,5,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.4539,response_2,shortValid,RUSTY,ABDOMEN,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.4267,response_2,shortValid,SHOULDER,POLICEMAN,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.662,response_2,shortFoil,PICTURE,POTATO,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
1.5372,response_2,shortValid,CRYSTAL,EMULSION,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60ec7979655caf17b8075cb1,31,Female,Right handed,2021-07-26_20h36.56.042,MA Experiment 2,2021.1.2,Win32,60.28090904,,,,,,,,,,
