response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.7175,response_2,shortFoil,KETTLE,BEVERAGE,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.2937,response_1,longFoil,MUSCLE,AMBULANCE,0,1,1,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.4006,response_2,shortValid,ANCHOR,INSTRUMENT,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.6464,response_2,shortFoil,FOREARM,COMMITTEE,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.4959,response_2,longFoil,CURFEW,HURRICANE,0,4,4,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.0007,response_1,longFoil,UNCLE,APPLIANCE,0,5,5,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.8922,response_1,longFoil,SINGER,SETTLEMENT,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.096,response_2,longValid,HURDLE,ATHLETICS,0,7,7,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
2.5998,response_1,longValid,MISTRESS,INFECTION,0,8,8,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.3362,response_2,longFoil,CHIPMUNK,DIAMOND,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.0504,response_1,longValid,JURY,ADMIRAL,0,10,10,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.5091,response_1,longValid,FEVER,FURNITURE,0,11,11,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.1158,response_2,shortFoil,TRAITOR,GALLERY,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60f9cfd807ab930c001820ce,33,Female,Right handed,2021-07-26_21h06.01.294,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,0,0,2,1,,,,,
