response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.0967,response_2,shortFoil,GRADUATE,CATHEDRAL,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.2135,response_2,longValid,VAPOUR,INJURY,0,1,1,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
3.4805,response_2,longFoil,SODA,EMULSION,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
,,longFoil,SCOOTER,ENAMEL,0,3,3,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.1487,response_2,shortValid,WINDOW,DESTROYER,0,4,4,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.0462,response_2,longFoil,MORNING,INDUSTRY,0,5,5,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
1.8625,response_2,longValid,TORTURE,VINEGAR,0,6,6,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.2471,response_1,longValid,MEASLES,HOSPITAL,0,7,7,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
1.5967,response_2,shortValid,SEGMENT,BUTTERFLY,0,8,8,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.9979,response_2,longValid,NURSERY,MERCURY,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
1.8307,response_2,shortValid,CIGAR,ICICLE,0,10,10,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.8478,response_1,shortValid,SOFA,ATHLETICS,0,11,11,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,,,,,
2.2308,response_1,longFoil,KENNEL,GINGERBREAD,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,0,0,1,1,,,,,
2.1834,response_2,shortValid,FERTILE,MINERAL,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,1,1,9,1,,,,,
2.5304,response_2,shortValid,GIRDLE,SETTLEMENT,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,2,2,16,1,,,,,
1.3972,response_2,,DANCER,MESSENGER,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,23,23,6,1
2.1974,response_1,longValid,NECKLACE,SAXOPHONE,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,3,3,4,1,,,,,
1.0294,response_2,shortFoil,WALRUS,NEIGHBOURHOOD,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,4,4,22,1,,,,,
1.8778,response_2,shortFoil,CURFEW,AMMONIA,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,5,5,30,1,,,,,
2.2642,response_2,longValid,PATIENT,HEROIN,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,6,6,33,1,,,,,
1.6451,response_2,,MISTRESS,HURRICANE,,,,,,ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,24,24,23,1
1.7995,response_2,shortFoil,SHEEPSKIN,POLICEMAN,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,7,7,13,1,,,,,
2.9806,response_2,longFoil,PERSON,MOSQUITO,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,8,8,31,1,,,,,
3.3676,response_2,longValid,DOORWAY,CAPITAL,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,9,9,28,1,,,,,
1.4989,response_1,longFoil,UNCLE,CORRIDOR,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,10,10,11,1,,,,,
2.3626,response_1,,FATHER,FISHERMAN,,,,,,VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_comp_project07.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,5,5,3,1
1.7143,response_2,shortFoil,NAPKIN,UMBRELLA,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,11,11,19,1,,,,,
1.4991,response_1,shortFoil,MOONLIGHT,HEADQUARTERS,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,12,12,26,1,,,,,
2.0625,response_1,longValid,CAPTAIN,AMBULANCE,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,13,13,27,1,,,,,
1.7629,response_2,longFoil,INVOICE,NEWSPAPER,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,14,14,17,1,,,,,
1.4504,response_2,,MURDER,AVENUE,,,,,,NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_human_project06.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,19,19,30,1
1.2491,response_2,shortFoil,VILLAGE,PROJECTOR,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,15,15,29,1,,,,,
2.48,response_2,longValid,TRAITOR,HANDKERCHIEF,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,16,16,15,1,,,,,
1.6135,response_2,shortValid,STOCKING,INSTITUTE,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,17,17,2,1,,,,,
1.8138,response_2,shortFoil,ANCHOR,SPECIALIST,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,18,18,10,1,,,,,
1.4969,response_2,,VALLEY,GRASSHOPPER,,,,,,BORDER,ALGEBRA,short,resources/sound/catchTrials/audio_control_comp_project00.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,2,2,0,1
1.4626,response_1,shortFoil,MURAL,FAMILY,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,19,19,7,1,,,,,
2.1993,response_2,shortFoil,DECOY,ORNAMENT,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,20,20,32,1,,,,,
1.4796,response_1,longFoil,LIGHTNING,MICROSCOPE,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,21,21,8,1,,,,,
1.2288,response_2,shortFoil,PICTURE,CINNAMON,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,22,22,12,1,,,,,
1.4782,response_2,,MEDICINE,INSTRUCTOR,,,,,,CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,,,,,,0,20,20,1,1
2.297,response_1,longValid,WAFER,PROPELLER,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fc195aaf93a05610b19f4c,28,Female,Right handed,2021-07-26_20h30.41.401,MA Experiment 2,2021.1.2,Win32,59.07372401,0,23,23,21,1,,,,,
