response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.859,response_2,longFoil,EARTHWORM,INFECTION,0,0,0,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.627,response_2,longValid,MISTRESS,AMBULANCE,0,1,1,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.092,response_2,longFoil,KERNEL,UMBRELLA,0,2,2,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.344,response_2,shortFoil,NATIVE,MOSQUITO,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.342,response_1,longFoil,DIVING,ALPHABET,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.11,response_2,shortValid,BUTTER,ENVELOPE,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.326,response_2,shortValid,GIRDLE,ATTENDANT,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.925,response_2,longValid,CHIPMUNK,INSTRUCTOR,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.024,response_1,longValid,WAFER,STRAWBERRY,0,8,8,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.692,response_4,longValid,CABIN,HEROIN,0,9,9,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.06,response_4,shortValid,NOVEL,CAMERA,0,10,10,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fc2220e5b6f3a077f0d742,18,Female,Right handed,2021-07-26_20h58.50.760,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
