response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.7377,response_2,shortFoil,SULPHUR,AMMONIA,0,0,0,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
2.7044,response_1,shortValid,SINGER,MOSQUITO,0,1,1,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
2.1744,response_1,longFoil,OFFICE,CONVENTION,0,2,2,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.3353,response_2,shortValid,PIPING,GOVERNMENT,0,3,3,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.2138,response_1,shortFoil,SEGMENT,ADMIRAL,0,4,4,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.5035,response_2,shortValid,TUMBLE,INTERVIEW,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
2.3748,response_2,shortValid,INVOICE,CHOCOLATE,0,6,6,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.2277,response_2,longValid,BURNER,LECTURER,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.3376,response_1,longValid,POLO,INJURY,0,8,8,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
1.3411,response_1,longFoil,OLIVE,NEWSPAPER,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fca97a03ac098b1f337352,20,Female,Right handed,2021-07-26_20h48.12.815,MA Experiment 2,2021.1.2,Win32,59.69436485,,,,,,,,,,
