response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.5944,response_2,shortFoil,MORNING,COMMITTEE,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.3774,response_1,longValid,BERRY,TEMPERATURE,0,1,1,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.5113,response_1,longFoil,WINDOW,MOSQUITO,0,2,2,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.7938,response_2,shortFoil,FERTILE,CANDLELIGHT,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.2284,response_2,longFoil,LEADER,APPLIANCE,0,4,4,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
,,longFoil,VESSEL,CONVENTION,0,5,5,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
0.7116,response_2,shortFoil,WAFER,SETTLEMENT,0,6,6,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
0.9449,response_2,longValid,DIVING,CATHEDRAL,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.0775,response_2,longValid,JURY,INSTRUCTOR,0,8,8,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.0774,response_2,shortFoil,CIGAR,RETAILER,0,9,9,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.0612,response_1,longValid,RABBI,MECHANIC,0,10,10,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
1.1447,response_2,longFoil,NEIGHBOUR,INDUSTRY,0,11,11,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,,,,,,,,,,
0.9949,response_2,longValid,DIAL,GRASSHOPPER,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fcad10ce60a71810f7f549,19,Female,Right handed,2021-07-26_20h52.12.228,MA Experiment 2,2021.1.2,Win32,59.9268892,0,0,0,25,1,,,,,
