response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.5485,response_2,shortFoil,MOONLIGHT,POTATO,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.9626,response_1,shortValid,SADDLE,DESTROYER,0,1,1,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.4418,response_2,longValid,NOVEL,ATTENDANT,0,2,2,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.28,response_1,longFoil,CEREAL,ANTIQUE,0,3,3,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.5633,response_2,shortValid,DWELLER,AMMONIA,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.4416,response_4,shortFoil,TEMPLE,AMBULANCE,0,5,5,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.477,response_2,longValid,PIPING,APPLIANCE,0,6,6,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.566,response_1,longValid,STOCKING,LECTURER,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.2958,response_2,longValid,FAIRY,MOLECULE,0,8,8,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.2101,response_2,shortFoil,TUMBLE,INSTRUMENT,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.3957,response_2,shortValid,ANCHOR,MINISTER,0,10,10,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.3117,response_2,longValid,LEADER,REFEREE,0,11,11,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,,,,,
1.4796,response_1,shortValid,NURSERY,CABINET,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,0,0,16,1,,,,,
2.0655,response_1,shortValid,CRYSTAL,PROJECTOR,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,1,1,28,1,,,,,
1.5624,response_2,shortFoil,RUSTY,ALPHABET,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,2,2,26,1,,,,,
1.1461,response_2,,RABBI,STRAWBERRY,,,,,,JOURNAL,ROBBERY,short,resources/sound/catchTrials/audio_control_human_project02.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,4,4,13,1
1.3798,response_1,shortValid,MISTRESS,CITIZEN,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,3,3,33,1,,,,,
1.6279,response_1,longFoil,HAMSTER,GALLERY,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,4,4,21,1,,,,,
1.6952,response_1,shortFoil,CANTEEN,MESSENGER,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,5,5,23,1,,,,,
0.9454,response_2,shortValid,MUSCLE,SPECIALIST,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,6,6,32,1,,,,,
1.6449,response_2,,POLO,CIGARETTE,,,,,,ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,20,20,23,1
1.3428,response_1,shortFoil,BERRY,NEWSPAPER,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,7,7,6,1,,,,,
2.6111,response_1,longFoil,SEGMENT,ABDOMEN,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,8,8,19,1,,,,,
1.3127,response_2,longValid,NEIGHBOUR,JANITOR,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,9,9,7,1,,,,,
1.3621,response_1,longValid,GRADUATE,ORNAMENT,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,10,10,11,1,,,,,
1.4806,response_1,,EARTHWORM,AVENUE,,,,,,VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_human_project07.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,25,25,12,1
1.5796,response_1,longValid,TWEEZER,UMBRELLA,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,11,11,29,1,,,,,
1.0794,response_1,longValid,TRAITOR,GOVERNMENT,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,12,12,17,1,,,,,
1.7287,response_2,shortFoil,MURDER,CANDLELIGHT,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,13,13,12,1,,,,,
1.3455,response_1,longValid,CIGAR,CAPITAL,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,14,14,3,1,,,,,
1.9429,response_2,,ACRE,INJURY,,,,,,SPINACH,APRICOT,long,resources/sound/catchTrials/audio_control_comp_project18.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,15,15,21,1
1.53,response_1,longFoil,LOBSTER,BEVERAGE,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,15,15,0,1,,,,,
0.9137,response_1,shortFoil,VALLEY,CROCODILE,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,16,16,4,1,,,,,
1.279,response_1,longValid,UNCLE,POLIO,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,17,17,5,1,,,,,
1.3952,response_1,shortFoil,PERSON,CATHEDRAL,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,18,18,2,1,,,,,
1.2626,response_1,,VAPOUR,VINEGAR,,,,,,VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_human_project07.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,31,31,28,1
1.5116,response_2,longFoil,MEDICINE,ICICLE,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,19,19,18,1,,,,,
1.2457,response_1,shortValid,PRINCESS,DIAMOND,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,20,20,27,1,,,,,
1.547,response_2,shortValid,BUTTER,MOSQUITO,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,21,21,1,1,,,,,
1.2284,response_1,shortValid,KETTLE,HOSPITAL,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,22,22,9,1,,,,,
1.2286,response_2,,DUEL,GINGERBREAD,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_human_project14.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,,,,,,0,17,17,26,1
1.762,response_1,shortValid,EVENING,MINERAL,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,23,23,20,1,,,,,
1.8126,response_1,shortFoil,GIRDLE,MICROSCOPE,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fcad7e0f438d71661601e3,21,Female,Right handed,2021-07-26_20h39.57.594,MA Experiment 2,2021.1.2,Win32,60.19744763,0,24,24,25,1,,,,,
