response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.6654,response_2,shortValid,CHIPMUNK,AMMONIA,0,0,0,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.4111,response_2,longFoil,WINDOW,MEDICINE,0,1,1,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
2.397,response_2,longFoil,BERRY,NEWSPAPER,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.3458,response_2,longValid,SCOOTER,TANGERINE,0,3,3,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.4791,response_1,longValid,MISTRESS,AMBULANCE,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
2.9311,response_2,shortValid,UNCLE,SETTLEMENT,0,5,5,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
,,shortValid,WALRUS,OPENING,0,6,6,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.7449,response_1,longValid,FAIRY,MONUMENT,0,7,7,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
3.0615,response_1,shortFoil,DIAL,FACTORY,0,8,8,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.53,response_2,shortFoil,EVENING,BUTTERFLY,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
2.9133,response_2,shortFoil,JURY,POLICEMAN,0,10,10,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
1.4792,response_2,shortFoil,PICTURE,GRASSHOPPER,0,11,11,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,,,,,
2.0796,response_1,longValid,FERTILE,ASBESTOS,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,0,0,24,1,,,,,
2.5657,response_1,longValid,LEADER,MECHANIC,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,1,1,3,1,,,,,
1.4127,response_1,longValid,SADDLE,CAPITAL,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,2,2,22,1,,,,,
1.2958,response_2,,NEIGHBOUR,TEMPERATURE,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,0,30,30,17,1
2.563,response_2,shortValid,DIVING,GYMNASTICS,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,3,3,25,1,,,,,
2.6468,response_2,longFoil,SULPHUR,BEVERAGE,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,4,4,14,1,,,,,
1.1464,response_1,longValid,CRYSTAL,ATTENDANT,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,5,5,12,1,,,,,
1.5116,response_1,longValid,BUTTER,GORILLA,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,6,6,20,1,,,,,
1.2457,response_1,,NOVEL,GINGERBREAD,,,,,,POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,,,,,,0,2,2,9,1
2.4679,response_1,shortValid,SODA,CHOCOLATE,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,7,7,10,1,,,,,
1.3948,response_2,shortFoil,BURNER,MERCURY,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,8,8,31,1,,,,,
1.296,response_2,shortValid,DWELLER,CABINET,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd0562ac82c2e3436d357f,21,Female,Left handed,2021-07-26_21h09.18.772,MA Experiment 2,2021.1.2,MacIntel,59.99880002,0,9,9,28,1,,,,,
