response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.797,response_2,longFoil,MEDICINE,GRASSHOPPER,0,0,0,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.578,response_2,shortValid,PODIUM,ALCOHOL,0,1,1,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.363,response_2,longFoil,MISTRESS,MERCURY,0,2,2,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.696,response_2,shortValid,MOONLIGHT,SAXOPHONE,0,3,3,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
3.263,response_2,longFoil,GRADUATE,CITIZEN,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.21,response_2,longValid,DOORWAY,OPENING,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.363,response_2,longValid,PIPING,SPECIALIST,0,6,6,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.229,response_2,longFoil,CRYSTAL,INDUSTRY,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.078,response_2,longFoil,PRINCESS,PHOTOGRAPH,0,8,8,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.479,response_1,shortValid,WRITING,DISSECTION,0,9,9,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.945,response_2,longFoil,SINGER,INJURY,0,10,10,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.846,response_1,longValid,LEADER,PHYSICIAN,0,11,11,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.479,response_1,longValid,VAPOUR,ORNAMENT,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,0,0,31,1,,,,,
1.729,response_1,longValid,INCOME,HEROIN,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,1,1,26,1,,,,,
1.147,response_2,shortValid,BERRY,ENVELOPE,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,2,2,25,1,,,,,
1.795,response_1,,CANTEEN,POTATO,,,,,,POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,0,13,13,9,1
2.112,response_2,shortFoil,KERNEL,POLIO,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,3,3,32,1,,,,,
1.263,response_2,longFoil,GIRDLE,ALPHABET,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,4,4,27,1,,,,,
1.461,response_2,shortValid,FOREARM,HEADQUARTERS,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,5,5,5,1,,,,,
2.927,response_2,shortFoil,DANCER,CAPITAL,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,6,6,21,1,,,,,
0.962,response_2,,TEMPLE,INSTITUTE,,,,,,ICY,JITTERBUG,short,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,0,15,15,7,1
1.513,response_2,longFoil,BUTTER,LECTURER,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd0ec7929edc5216631a1c,19,Female,Right handed,2021-07-27_16h27.28.809,MA Experiment 2,2021.1.2,MacIntel,58.82352941,0,7,7,15,1,,,,,
