response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,longValid,TUMBLE,POTATO,0,0,0,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.4518,response_2,shortValid,FERTILE,FIREWOOD,0,1,1,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
3.038299999,response_1,shortValid,SULPHUR,DISSECTION,0,2,2,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.25,response_2,shortFoil,SODA,HEROIN,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
2.1619,response_2,shortFoil,BEETLE,REFEREE,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.6645,response_2,shortValid,BERRY,CIGARETTE,0,5,5,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.683400001,response_2,shortFoil,MURAL,INTERVIEW,0,6,6,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.4157,response_2,shortFoil,NOVEL,ACROBAT,0,7,7,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.604400001,response_2,shortValid,DUEL,ALCOHOL,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.2755,response_2,longFoil,VALLEY,INSTRUMENT,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
1.2232,response_1,shortValid,VAPOUR,CONVENTION,0,10,10,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd0ef6bf5253cae24e3c0d,33,Female,Right handed,2021-07-26_20h49.01.684,MA Experiment 2,2021.1.2,Win32,58.11250581,,,,,,,,,,
