response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortValid,LOBSTER,LEMONADE,0,0,0,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.3144,response_2,longValid,WALRUS,CABINET,0,1,1,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.7911,response_2,shortFoil,TWEEZER,INFECTION,0,2,2,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.1257,response_2,shortFoil,MOONLIGHT,INDUSTRY,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
3.3113,,longValid,NECKLACE,ADMIRAL,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.4784,response_1,longValid,WINDOW,GRASSHOPPER,0,5,5,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.1428,response_1,longValid,ACRE,EMULSION,0,6,6,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
2.4331,response_2,shortFoil,PODIUM,CATHEDRAL,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
3.1409,response_2,shortFoil,CEREAL,SETTLEMENT,0,8,8,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
1.1067,response_1,longValid,BISHOP,GOVERNMENT,0,9,9,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd11259edcfb295e18e285,19,Female,Right handed,2021-07-26_20h48.06.388,MA Experiment 2,2021.1.2,Win32,61.58773172,,,,,,,,,,
