response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.048,response_2,longValid,KERNEL,GOVERNMENT,0,0,0,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.878,response_1,shortFoil,DECOY,HONEYMOON,0,1,1,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
,,shortValid,LOBSTER,REFEREE,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.397,response_1,longFoil,NURSERY,CAPITAL,0,3,3,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.729,response_2,shortValid,STOCKING,GALLERY,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.379,response_1,longFoil,LIQUID,HURRICANE,0,5,5,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
0.829,response_2,shortValid,NOVEL,AVENUE,0,6,6,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.979,response_1,longValid,PIPING,PROJECTOR,0,7,7,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
2.746,response_1,longValid,PRINCESS,PROPELLER,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
1.861,response_2,longFoil,CEREAL,MERCURY,0,9,9,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
3.063,response_1,longValid,VALLEY,INSTRUCTOR,0,10,10,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd236d346f0042f7193cd3,22,Female,Right handed,2021-07-26_20h50.44.474,MA Experiment 2,2021.1.2,MacIntel,58.82352941,,,,,,,,,,
