response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.7841,response_2,longFoil,MEDICINE,TANGERINE,0,0,0,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
2.0913,response_2,longValid,WINDOW,CANDLELIGHT,0,1,1,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
1.3798,response_2,longValid,EARTHWORM,MICROSCOPE,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
1.1261,response_2,longFoil,WIRE,GINGERBREAD,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
1.6436,response_2,longFoil,BUTTER,CARNATION,0,4,4,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
2.0595,response_1,longValid,BERRY,NEIGHBOURHOOD,0,5,5,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
2.7765,response_1,shortFoil,TEMPLE,CATHEDRAL,0,6,6,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
1.225,response_2,shortFoil,DUEL,ALPHABET,0,7,7,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
2.3913,response_2,longFoil,SHOULDER,MOSQUITO,0,8,8,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
1.2426,response_1,longFoil,POLO,CHOCOLATE,0,9,9,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd23ef6a559a87f905f619,28,Female,Right handed,2021-07-26_20h47.37.943,MA Experiment 2,2021.1.2,Win32,60.06727535,,,,,,,,,,
