response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.563299999,response_2,longValid,SEGMENT,GYMNASTICS,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
2.643700001,response_1,shortFoil,GIRDLE,DISSECTION,0,1,1,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.510299999,response_2,longValid,TWEEZER,PROPELLER,0,2,2,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.678099998,response_1,longValid,MURAL,UMBRELLA,0,3,3,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.15,response_1,shortValid,DWELLER,STRAWBERRY,0,4,4,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.361700001,response_2,longFoil,NOVEL,COMMITTEE,0,5,5,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.4941,response_2,shortValid,SADDLE,RETAILER,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
0.9774,response_2,longFoil,STATION,INSTRUMENT,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.494300001,response_2,shortValid,MEASLES,BUTTERFLY,0,8,8,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.0489,response_2,shortFoil,CANTEEN,CANDLELIGHT,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.715700001,response_1,shortValid,WIRE,TEMPERATURE,0,10,10,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.227,response_2,longFoil,LIGHTNING,CONVENTION,0,11,11,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,,,,,
1.0946,response_2,shortFoil,STOCKING,HOSPITAL,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,0,0,0,14,1,,,,,
1.3989,response_2,longFoil,SINGER,INSTITUTE,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,0,1,1,32,1,,,,,
1.062300001,response_2,shortFoil,DANCER,GOVERNMENT,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,0,2,2,15,1,,,,,
1.327800001,response_2,,DOORWAY,LECTURER,,,,,,ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fd26b47fa13cbcd98ad292,19,Female,Right handed,2021-07-26_21h04.57.104,MA Experiment 2,2021.1.2,Win32,59.95563283,,,,,,0,29,29,23,1
