response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.71786,response_2,shortValid,KENNEL,GINGERBREAD,0,0,0,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.317645,response_2,longValid,MURDER,MOSQUITO,0,1,1,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
0.82115,response_2,longFoil,TRAITOR,EMULSION,0,2,2,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.02023,response_1,longFoil,SODA,HANDKERCHIEF,0,3,3,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
0.956165,response_2,shortFoil,NURSERY,INFECTION,0,4,4,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.179415,response_2,shortFoil,WAFER,HONEYMOON,0,5,5,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.20939,response_1,longValid,BURNER,RETAILER,0,6,6,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.6369,response_2,shortValid,TUMBLE,TANGERINE,0,7,7,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
1.10523,response_2,shortValid,JURY,OXYGEN,0,8,8,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
0.801015,response_2,longValid,MEDICINE,INJURY,0,9,9,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd28d6778168a8cd975fc6,22,Female,Right handed,2021-07-26_20h49.03.708,MA Experiment 2,2021.1.2,Win32,57.7700751,,,,,,,,,,
