response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortFoil,MURAL,REFEREE,0,0,0,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.695,response_2,longFoil,POLO,STRAWBERRY,0,1,1,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.685,response_2,shortFoil,NATIVE,ADMIRAL,0,2,2,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.489,response_2,longValid,HARBOUR,ASBESTOS,0,3,3,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.848,response_1,longFoil,KETTLE,PHYSICIAN,0,4,4,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.759,response_2,longFoil,CURFEW,GRASSHOPPER,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.531,response_2,shortFoil,VAPOUR,CAMERA,0,6,6,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
2.649,response_4,longFoil,NEIGHBOUR,FURNITURE,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
0.662,response_2,longValid,VESSEL,INFECTION,0,8,8,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.365,response_1,longFoil,HAMSTER,DESTROYER,0,9,9,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.012,response_1,longFoil,DOORWAY,NEWSPAPER,0,10,10,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
2.014,response_2,longFoil,BISHOP,CITIZEN,0,11,11,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,,,,,,,,,,
1.495,response_2,longFoil,NAPKIN,OXYGEN,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,0,0,0,19,1,,,,,
1.284,response_2,longValid,CAPTAIN,HONEYMOON,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,0,1,1,29,1,,,,,
1.697,response_2,shortFoil,FAIRY,HANDKERCHIEF,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd295a26f11be0bcb4b13a,25,Female,Right handed,2021-07-27_16h29.27.286,MA Experiment 2,2021.1.2,MacIntel,29.95805872,0,2,2,30,1,,,,,
