response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.2596,response_2,shortValid,VILLAGE,MONUMENT,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
1.041,response_1,shortValid,KENNEL,AMBULANCE,0,1,1,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
1.0933,response_2,longValid,STOCKING,CONVENTION,0,2,2,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
1.5242,response_1,longValid,DIAL,ADMIRAL,0,3,3,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.6918,response_1,shortFoil,VAPOUR,FAMILY,0,4,4,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.9205,response_2,longFoil,KETTLE,CIGARETTE,0,5,5,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
1.0293,response_2,longFoil,GRADUATE,MEDICINE,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
1.3011,response_2,shortValid,NAPKIN,NEIGHBOURHOOD,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.9307,response_2,longValid,PIANO,INSTITUTE,0,8,8,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.7109,response_2,longValid,MOONLIGHT,REFEREE,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.8082,response_1,shortValid,INVOICE,ASBESTOS,0,10,10,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.8594,response_2,shortValid,NURSERY,CANDLELIGHT,0,11,11,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,,,,,
0.8389,response_2,shortFoil,PERSON,CAPITAL,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,0,0,21,1,,,,,
1.0367,response_1,longFoil,NATIVE,CAMERA,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,1,1,2,1,,,,,
1.3948,response_2,longFoil,CURFEW,HURRICANE,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,2,2,29,1,,,,,
0.6495,response_1,,OLIVE,SETTLEMENT,,,,,,JUGGLER,DANDELION,long,resources/sound/catchTrials/audio_control_human_project09.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,0,24,24,31,1
0.9401,response_1,shortValid,SINGER,BEVERAGE,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,3,3,20,1,,,,,
0.8303,response_1,longValid,WIRE,GOVERNMENT,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,4,4,14,1,,,,,
0.8049,response_2,longValid,SEGMENT,MINERAL,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,5,5,0,1,,,,,
0.9952,response_1,longValid,EVENING,DISSECTION,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,6,6,25,1,,,,,
0.8409,response_2,,BERRY,MECHANIC,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_human_project14.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,0,17,17,26,1
0.707,response_2,shortValid,TRAITOR,PROJECTOR,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,7,7,7,1,,,,,
0.7446,response_2,shortFoil,POLO,VINEGAR,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,8,8,31,1,,,,,
1.1006,response_1,longFoil,VESSEL,FISHERMAN,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,9,9,30,1,,,,,
0.8462,response_1,longValid,CIGAR,ALCOHOL,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,0,10,10,23,1,,,,,
0.8754,response_2,,SODA,GINGERBREAD,,,,,,ICY,JITTERBUG,short,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fd2a117181bc22b970997d,20,Female,Right handed,2021-07-26_21h04.27.447,MA Experiment 2,2021.1.2,Win32,82.46062505,,,,,,0,12,12,7,1
