response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.8304,response_1,shortValid,HAMMER,LECTURER,0,0,0,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
2.3487,response_2,shortValid,LIQUID,FAMILY,0,1,1,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.9633,response_1,shortValid,ACRE,GORILLA,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.6947,response_2,longFoil,PIPING,PROPELLER,0,3,3,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.2107,response_2,longFoil,SHEEPSKIN,UMBRELLA,0,4,4,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.7793,response_1,longFoil,SINGER,INSTRUCTOR,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.3289,response_2,longFoil,FEVER,GALLERY,0,6,6,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.3295,response_1,shortValid,BUTTER,NEWSPAPER,0,7,7,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.3788,response_1,shortValid,CURFEW,HONEYMOON,0,8,8,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
1.0449,response_1,shortValid,KETTLE,ANTIQUE,0,9,9,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd2b38c2980b3c3154306d,18,Female,Right handed,2021-07-27_16h30.41.561,MA Experiment 2,2021.1.2,Win32,60.16847172,,,,,,,,,,
