response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.9685,response_2,longFoil,PODIUM,CHOCOLATE,0,0,0,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.6504,response_2,shortValid,WINDOW,CONVENTION,0,1,1,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
0.9726,response_2,longValid,RUSTY,ACROBAT,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.2666,response_1,longValid,DUEL,BEVERAGE,0,3,3,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
2.2134,response_2,shortFoil,LOBSTER,FAMILY,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
2.0086,response_1,longValid,BUTTER,GOVERNMENT,0,5,5,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.6343,response_2,longFoil,TWEEZER,ADMIRAL,0,6,6,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.2626,response_2,longFoil,EVENING,MECHANIC,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.4232,response_1,shortValid,FEVER,CARNATION,0,8,8,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.0596,response_2,shortValid,TRAITOR,ANTIQUE,0,9,9,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.6974,response_2,shortValid,OLIVE,CORRIDOR,0,10,10,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.4262,response_2,shortFoil,EARTHWORM,PHOTOGRAPH,0,11,11,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,,,,,,,,,,
1.4717,response_2,longValid,DECOY,MINERAL,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,0,0,0,16,1,,,,,
3.3635,response_2,longFoil,MOONLIGHT,NEWSPAPER,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd2d6929962bd5ab35f4b0,22,Female,Right handed,2021-07-26_20h40.20.655,MA Experiment 2,2021.1.2,Linux x86_64,30.00930288,0,1,1,3,1,,,,,
