response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.971,response_2,longValid,STOCKING,FURNITURE,0,0,0,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.1067,response_2,shortFoil,WINDOW,CANDLELIGHT,0,1,1,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
2.4262,response_1,longValid,HARBOUR,CATHEDRAL,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.5266,response_2,longFoil,VALLEY,GINGERBREAD,0,3,3,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.51,response_2,longFoil,HAMSTER,HONEYMOON,0,4,4,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.3442,response_2,shortFoil,TRAITOR,GRASSHOPPER,0,5,5,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.6932,response_2,shortFoil,VILLAGE,BUTTERFLY,0,6,6,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.044,response_2,shortValid,SCOOTER,PHOTOGRAPH,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.2266,response_1,shortValid,OFFICE,GORILLA,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
1.7946,response_2,longValid,CAPTAIN,APPLIANCE,0,9,9,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
2.1615,response_1,shortFoil,CURFEW,ADMIRAL,0,10,10,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
2.1424,response_2,shortValid,BUTTER,INSTRUCTOR,0,11,11,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,,,,,,,,,,
2.1435,response_1,shortFoil,NEIGHBOUR,TANGERINE,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,0,0,0,31,1,,,,,
1.2503,response_2,longValid,SOFA,ACROBAT,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,0,1,1,4,1,,,,,
1.2663,response_1,shortValid,JURY,RETAILER,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fd2ef97a195bfbd002ed69,20,Female,Right handed,2021-07-26_20h52.37.088,MA Experiment 2,2021.1.2,Win32,60.3427468,0,2,2,18,1,,,,,
