response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.9953,response_2,longValid,CANTEEN,ACROBAT,0,0,0,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
2.3383,response_2,shortValid,WIRE,PROJECTOR,0,1,1,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
,,longValid,WAFER,CLARINET,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
1.059,response_2,longValid,OFFICE,INSTRUMENT,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
2.3417,response_4,shortFoil,CABIN,HONEYMOON,0,4,4,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
1.4299,response_1,longFoil,POLO,BEVERAGE,0,5,5,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
1.6763,response_2,longValid,ACRE,REFEREE,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
0.9752,response_1,longValid,LEADER,POTATO,0,7,7,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
0.8745,response_2,shortValid,JURY,CARNATION,0,8,8,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
1.308,response_2,shortValid,CURFEW,UMBRELLA,0,9,9,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
0.9252,response_1,shortFoil,TUMBLE,CORRIDOR,0,10,10,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd35daf1ef7292c0341f17,20,Female,Right handed,2021-07-26_21h59.39.334,MA Experiment 2,2021.1.2,Win32,59.97720866,,,,,,,,,,
