response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.192,response_2,shortValid,LIQUID,SPECIALIST,0,0,0,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.2192,response_2,longValid,MOONLIGHT,INSTRUCTOR,0,1,1,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.9282,response_2,shortFoil,EARTHWORM,STRAWBERRY,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
2.589,response_1,shortFoil,SADDLE,ENVELOPE,0,3,3,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.2316,response_2,shortFoil,SULPHUR,PHOTOGRAPH,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.2235,response_2,longFoil,SCOOTER,HOSPITAL,0,5,5,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.6044,response_2,shortFoil,WIRE,INSTRUMENT,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.6403,response_1,longValid,DECOY,OXYGEN,0,7,7,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.1715,response_2,longValid,MEASLES,CIGARETTE,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
1.6323,response_2,shortValid,CABIN,HURRICANE,0,9,9,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd3759ee03e6095918afb3,23,Female,Right handed,2021-07-27_16h31.27.760,MA Experiment 2,2021.1.2,Win32,60.67224851,,,,,,,,,,
