response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.73003,response_2,shortFoil,TEMPLE,CATHEDRAL,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.645565,response_2,shortValid,UNCLE,FISHERMAN,0,1,1,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
3.196575,response_2,longValid,PODIUM,HOSPITAL,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.26206,response_1,longValid,WIRE,ATHLETICS,0,3,3,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
0.9108,response_2,shortValid,VILLAGE,LEMONADE,0,4,4,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.2941,response_2,longFoil,MURAL,PHYSICIAN,0,5,5,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.031485,response_2,shortFoil,DIVING,DESTROYER,0,6,6,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.61253,response_2,shortFoil,VAPOUR,COMMITTEE,0,7,7,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.76191,response_2,shortFoil,MOONLIGHT,CANDLELIGHT,0,8,8,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
0.896015,response_2,shortValid,CABIN,FAMILY,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.230595,response_2,shortValid,GRADUATE,ENVELOPE,0,10,10,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.01124,response_1,longFoil,INCOME,HEADQUARTERS,0,11,11,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.11335,response_2,shortValid,TWEEZER,CITIZEN,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,0,0,25,1,,,,,
1.07737,response_2,longFoil,SADDLE,MESSENGER,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,1,1,4,1,,,,,
1.162675,response_1,longFoil,CHIPMUNK,UMBRELLA,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,2,2,30,1,,,,,
1.49191,response_2,,LOBSTER,REFEREE,,,,,,NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,1,1,22,1
0.708975,response_2,shortValid,BURNER,PHOTOGRAPH,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,3,3,8,1,,,,,
1.510845,response_1,shortValid,NOVEL,FURNITURE,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,4,4,32,1,,,,,
1.69478,response_1,shortValid,PIPING,EMULSION,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,5,5,33,1,,,,,
1.800555,response_1,longFoil,PATIENT,CLARINET,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,6,6,28,1,,,,,
1.21227,response_2,,FATHER,PROFESSOR,,,,,,SPINACH,APRICOT,short,resources/sound/catchTrials/audio_control_comp_project18.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,3,3,5,1
1.145755,response_2,shortValid,FEVER,LECTURER,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,7,7,24,1,,,,,
1.279305,response_1,longFoil,VALLEY,ALPHABET,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,8,8,22,1,,,,,
1.39525,response_2,shortValid,BERRY,GINGERBREAD,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,9,9,31,1,,,,,
2.128965,response_2,shortValid,SHOULDER,CINNAMON,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,10,10,9,1,,,,,
0.897565,response_2,,NAPKIN,CAMERA,,,,,,JOURNAL,ROBBERY,long,resources/sound/catchTrials/audio_control_human_project02.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,2,2,29,1
1.37903,response_2,shortValid,LIGHTNING,OPENING,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,11,11,6,1,,,,,
1.56174,response_2,longFoil,DOORWAY,CONVENTION,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,12,12,10,1,,,,,
2.56361,response_1,shortValid,WALRUS,SETTLEMENT,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,13,13,27,1,,,,,
1.76897,response_2,shortFoil,MEASLES,OXYGEN,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,14,14,19,1,,,,,
1.909945,response_2,,SEGMENT,INFECTION,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,7,7,17,1
1.21371,response_2,longFoil,HAMSTER,CIGARETTE,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,15,15,2,1,,,,,
1.6812,response_1,shortValid,HARBOUR,MINERAL,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd398c134094f3b825786d,18,Female,Right handed,2021-07-26_21h14.49.594,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,16,16,3,1,,,,,
