response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.479,response_2,shortFoil,WALRUS,GALLERY,0,0,0,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.993,response_1,shortValid,KENNEL,OXYGEN,0,1,1,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.944,response_2,shortFoil,EARTHWORM,DESTROYER,0,2,2,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
2.059,response_2,shortValid,MURAL,ALCOHOL,0,3,3,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.909,response_2,shortFoil,WINDOW,HOSPITAL,0,4,4,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.643,response_2,shortFoil,CEREAL,MEDICINE,0,5,5,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
2.428,response_2,longFoil,PICTURE,TANGERINE,0,6,6,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.079,response_1,shortValid,TWEEZER,GORILLA,0,7,7,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.859,response_1,longFoil,NECKLACE,AVENUE,0,8,8,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
0.94,response_2,longValid,OLIVE,LEMONADE,0,9,9,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
0.777,response_2,longValid,HAMMER,BUTTERFLY,0,10,10,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
1.028,response_2,longValid,GIRDLE,ENVELOPE,0,11,11,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,,,,,
3.158,response_4,shortFoil,WRITING,VINEGAR,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,0,0,13,1,,,,,
2.926,response_2,longFoil,SHEEPSKIN,STRAWBERRY,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,1,1,15,1,,,,,
1.392,response_2,longValid,NURSERY,EMULSION,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,2,2,27,1,,,,,
1.476,response_2,,HAMSTER,DIAMOND,,,,,,IRIS,VIOLIN,long,resources/sound/catchTrials/audio_control_human_project12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,31,31,24,1
1.392,response_1,shortValid,WAFER,BEVERAGE,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,3,3,28,1,,,,,
0.992,response_2,shortValid,FOREARM,NEWSPAPER,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,4,4,23,1,,,,,
1.743,response_1,longValid,EVENING,HEADQUARTERS,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,5,5,10,1,,,,,
1.125,response_2,longValid,FEVER,CANDLELIGHT,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,6,6,21,1,,,,,
1.061,response_2,,CAPTAIN,CIGARETTE,,,,,,BORDER,ALGEBRA,long,resources/sound/catchTrials/audio_control_comp_project00.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,27,27,16,1
1.861,response_2,shortValid,WIRE,COMMITTEE,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,7,7,12,1,,,,,
1.479,response_2,shortFoil,MEDICINE,CORRIDOR,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,8,8,14,1,,,,,
1.626,response_1,shortFoil,TUMBLE,RETAILER,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,9,9,0,1,,,,,
1.742,response_2,shortFoil,SCOOTER,HANDKERCHIEF,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,10,10,33,1,,,,,
1.53,response_1,,CHIPMUNK,CINNAMON,,,,,,VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_human_project07.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,20,20,12,1
1.591,response_1,shortValid,DOORWAY,GRASSHOPPER,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,11,11,30,1,,,,,
1.478,response_1,longFoil,VALLEY,FACTORY,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,12,12,3,1,,,,,
0.676,response_2,longValid,RUSTY,POTATO,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,13,13,32,1,,,,,
1.108,response_2,longFoil,BISHOP,CONVENTION,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,14,14,4,1,,,,,
1.209,response_2,,MOONLIGHT,OPENING,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,16,16,17,1
1.128,response_1,shortValid,VESSEL,JANITOR,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,15,15,20,1,,,,,
1.313,response_1,shortValid,VAPOUR,INDUSTRY,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,16,16,17,1,,,,,
0.792,response_1,shortFoil,KERNEL,CAMERA,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,17,17,18,1,,,,,
0.796,response_1,longFoil,LOBSTER,AMMONIA,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,18,18,1,1,,,,,
0.978,response_2,,DIVING,ANTIQUE,,,,,,JOURNAL,ROBBERY,long,resources/sound/catchTrials/audio_control_human_project02.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,14,14,29,1
1.643,response_1,longValid,CURFEW,MERCURY,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,19,19,25,1,,,,,
0.994,response_2,longValid,LIGHTNING,GOVERNMENT,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,20,20,5,1,,,,,
1.993,response_1,shortFoil,FERTILE,ABDOMEN,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,21,21,6,1,,,,,
1.443,response_2,longValid,VILLAGE,POLIO,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,22,22,2,1,,,,,
0.993,response_2,,UNCLE,GINGERBREAD,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,22,22,6,1
0.873,response_1,longValid,GRADUATE,PHYSICIAN,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,23,23,22,1,,,,,
1.844,response_1,longValid,SADDLE,ALPHABET,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,24,24,9,1,,,,,
1.392,response_2,shortFoil,PIPING,INSTRUMENT,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,25,25,24,1,,,,,
1.042,response_1,shortValid,NEIGHBOUR,ATHLETICS,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,26,26,11,1,,,,,
1.144,response_2,,OFFICE,FIREWOOD,,,,,,NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_human_project06.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,28,28,30,1
0.81,response_1,shortValid,STATION,MONUMENT,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,27,27,16,1,,,,,
0.745,response_1,longValid,RABBI,UMBRELLA,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,28,28,29,1,,,,,
0.691,response_1,longValid,NATIVE,MESSENGER,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,29,29,8,1,,,,,
1.544,response_2,longFoil,SULPHUR,MECHANIC,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,30,30,31,1,,,,,
1.195,response_2,,DIAL,INSTRUCTOR,,,,,,IRIS,VIOLIN,long,resources/sound/catchTrials/audio_control_comp_project12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,24,24,20,1
1.029,response_2,shortValid,INVOICE,TEMPERATURE,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,31,31,7,1,,,,,
1.194,response_2,shortValid,ANCHOR,DISSECTION,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,32,32,19,1,,,,,
1.16,response_2,longValid,SEGMENT,ADMIRAL,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,0,33,33,26,1,,,,,
1.145,response_1,longFoil,JURY,CARNATION,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,0,34,22,1,,,,,
0.894,response_2,shortValid,MUSCLE,MICROSCOPE,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,1,35,32,1,,,,,
1.109,response_1,longFoil,MURDER,PHOTOGRAPH,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,2,36,12,1,,,,,
1.113,response_2,,SODA,ACROBAT,,,,,,IRIS,VIOLIN,short,resources/sound/catchTrials/audio_control_comp_project12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,19,19,4,1
0.763,response_1,shortValid,TORTURE,LECTURER,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,3,37,6,1,,,,,
1.432,response_2,shortFoil,LEADER,INTERVIEW,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,4,38,23,1,,,,,
0.96,response_1,shortValid,DWELLER,ATTENDANT,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,5,39,1,1,,,,,
1.377,response_2,longFoil,DECOY,INSTITUTE,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,6,40,19,1,,,,,
1.49,response_2,,CIGAR,SPECIALIST,,,,,,ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,18,18,23,1
0.895,response_2,longValid,TEMPLE,FISHERMAN,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,7,41,11,1,,,,,
1.709,response_1,shortValid,SINGER,MINERAL,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,8,42,21,1,,,,,
1.259,response_1,shortValid,TRAITOR,HEROIN,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,9,43,0,1,,,,,
1.577,response_2,longFoil,CABIN,ENAMEL,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,10,44,24,1,,,,,
1.026,response_2,,INCOME,CABINET,,,,,,HOBBY,COLONY,short,resources/sound/catchTrials/audio_control_comp_project04.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,8,8,2,1
1.143,response_2,longFoil,CANTEEN,CATHEDRAL,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,11,45,14,1,,,,,
0.978,response_2,longValid,SOFA,CHOCOLATE,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,12,46,33,1,,,,,
1.043,response_1,longFoil,ACRE,REFEREE,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,13,47,30,1,,,,,
1.211,response_2,shortFoil,PODIUM,SAXOPHONE,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,14,48,7,1,,,,,
1.444,response_2,,KETTLE,CLARINET,,,,,,CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,17,17,1,1
1.126,response_1,shortFoil,BERRY,GYMNASTICS,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,15,49,28,1,,,,,
0.948,response_1,shortValid,MORNING,CROCODILE,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,16,50,13,1,,,,,
1.38,response_1,shortFoil,DANCER,FAMILY,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,17,51,20,1,,,,,
1.092,response_2,shortFoil,HURDLE,MOLECULE,,,,,,MARBLE,CUSTOMER,short,resources/sound/trials/audio_stim_comp65.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,18,52,4,1,,,,,
0.943,response_2,,PATIENT,CAPITAL,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_human_project06.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,,,,,,0,0,0,14,1
0.843,response_1,longFoil,PIANO,APPLIANCE,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,19,53,17,1,,,,,
1.376,response_2,shortFoil,CRYSTAL,PROJECTOR,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,20,54,8,1,,,,,
1.109,response_2,shortFoil,NOVEL,INFECTION,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd3ae8985fb478350f43df,19,Female,Right handed,2021-07-26_20h30.33.438,MA Experiment 2,2021.1.2,MacIntel,66.66666667,1,21,55,31,1,,,,,
