response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.5486,response_2,longValid,MURAL,CANDLELIGHT,0,0,0,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
3.0225,response_1,longValid,KENNEL,HOSPITAL,0,1,1,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
2.1967,response_1,longFoil,NATIVE,POTATO,0,2,2,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.7581,response_2,shortValid,WINDOW,REFEREE,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.1789,response_2,longValid,CRYSTAL,MESSENGER,0,4,4,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.9143,response_1,longValid,STATION,CAPITAL,0,5,5,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.4085,response_2,longFoil,WAFER,EMULSION,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
2.4255,response_2,shortValid,DOORWAY,CLARINET,0,7,7,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.3975,response_1,shortValid,INCOME,NEWSPAPER,0,8,8,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.8463,response_2,shortFoil,RABBI,UMBRELLA,0,9,9,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
2.3734,response_2,longValid,TEMPLE,POLIO,0,10,10,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
1.928,response_2,shortFoil,FATHER,HEROIN,0,11,11,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,,,,,
2.5293,response_1,shortValid,PRINCESS,DESTROYER,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,0,0,15,1,,,,,
1.4262,response_1,shortValid,BISHOP,LEMONADE,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,1,1,5,1,,,,,
1.5804,response_2,longFoil,DANCER,PHYSICIAN,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,2,2,2,1,,,,,
1.5955,response_2,,SULPHUR,MOLECULE,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,0,24,24,17,1
2.0679,response_1,shortFoil,PIANO,CITIZEN,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,3,3,0,1,,,,,
1.9438,response_2,longFoil,MEDICINE,FAMILY,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,4,4,12,1,,,,,
2.1138,response_2,longValid,TORTURE,GORILLA,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,5,5,10,1,,,,,
1.8859,response_2,longValid,EARTHWORM,MEDICINE,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,6,6,32,1,,,,,
0.7265,response_2,,NEIGHBOUR,GYMNASTICS,,,,,,CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_human_project14.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,0,22,22,10,1
1.613,response_2,longValid,VESSEL,APPLIANCE,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,7,7,13,1,,,,,
2.1973,response_2,longValid,CAPTAIN,ALPHABET,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,8,8,16,1,,,,,
1.6134,response_2,shortValid,POLO,AMBULANCE,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,9,9,29,1,,,,,
1.563,response_1,longValid,PERSON,OPENING,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,10,10,28,1,,,,,
1.8965,response_2,,HAMSTER,NEIGHBOURHOOD,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,0,11,11,6,1
1.9299,response_1,shortValid,STOCKING,PHOTOGRAPH,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,11,11,14,1,,,,,
1.6424,response_1,longFoil,VAPOUR,TEMPERATURE,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,12,12,27,1,,,,,
2.1459,response_3,longFoil,HAMMER,CONVENTION,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,13,13,1,1,,,,,
2.5565,response_1,longValid,GIRDLE,FIREWOOD,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,0,14,14,17,1,,,,,
1.2455,response_2,,WRITING,MERCURY,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_human_project06.mp3,60fd40bd85bdc921c8044099,30,Female,Right handed,2021-07-26_21h21.17.281,MA Experiment 2,2021.1.2,Win32,60.0132029,,,,,,0,7,7,14,1
