response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.9475,response_2,shortFoil,DUEL,TEMPERATURE,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
,,longValid,DIAL,MOSQUITO,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
1.3474,response_2,longFoil,HURDLE,ACROBAT,0,2,2,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
1.8641,response_2,longValid,NATIVE,STRAWBERRY,0,3,3,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
2.8145,response_1,shortFoil,LIGHTNING,AMBULANCE,0,4,4,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
2.081,response_1,longValid,TRAITOR,POTATO,0,5,5,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
1.2311,response_1,longValid,WIRE,INSTRUCTOR,0,6,6,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
1.5315,response_2,longFoil,POLO,OPENING,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
1.231,response_2,shortValid,VILLAGE,CANDLELIGHT,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
2.2645,response_2,longValid,EARTHWORM,JANITOR,0,9,9,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd43950a7d1e2a36e7f980,21,Non-binary,Right handed,2021-07-26_20h53.26.558,MA Experiment 2,2021.1.2,Win32,59.28385108,,,,,,,,,,
