response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.2541,response_2,shortValid,STOCKING,OXYGEN,0,0,0,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.257,response_2,longFoil,SADDLE,ANTIQUE,0,1,1,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.9572,response_2,longFoil,EVENING,FACTORY,0,2,2,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
1.8747,response_1,shortFoil,BISHOP,INJURY,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
1.3075,response_2,shortValid,TEMPLE,BEVERAGE,0,4,4,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
1.4455,response_1,shortValid,GIRDLE,MESSENGER,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.5241,response_1,shortFoil,CANTEEN,POTATO,0,6,6,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
1.9055,response_2,longFoil,RUSTY,CINNAMON,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.0575,response_2,shortValid,PICTURE,GOVERNMENT,0,8,8,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.0424,response_1,longFoil,SOFA,AMBULANCE,0,9,9,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.8747,response_1,longFoil,CRYSTAL,ENAMEL,0,10,10,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
0.7084,response_1,shortValid,NATIVE,AVENUE,0,11,11,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,,,,,
2.0086,response_2,shortValid,SHOULDER,GINGERBREAD,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,0,0,28,1,,,,,
1.5066,response_1,longFoil,GRADUATE,ALPHABET,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,1,1,5,1,,,,,
1.9085,response_1,longFoil,VESSEL,APPLIANCE,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,2,2,11,1,,,,,
1.2085,response_2,,DANCER,GALLERY,,,,,,CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,0,17,17,17,1
2.0746,response_2,shortFoil,CURFEW,CHOCOLATE,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,3,3,23,1,,,,,
1.0442,response_2,shortFoil,POLO,LEMONADE,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,4,4,6,1,,,,,
2.4762,response_2,longValid,KENNEL,REFEREE,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,5,5,1,1,,,,,
3.3776,response_1,longFoil,FERTILE,MICROSCOPE,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,6,6,18,1,,,,,
1.7587,response_2,,LOBSTER,INFECTION,,,,,,JOURNAL,ROBBERY,short,resources/sound/catchTrials/audio_control_human_project02.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,0,5,5,13,1
3.0082,response_2,longFoil,HAMMER,HANDKERCHIEF,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,7,7,33,1,,,,,
2.4084,response_2,shortFoil,BERRY,HONEYMOON,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,8,8,31,1,,,,,
2.5756,response_2,longFoil,JURY,DIAMOND,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,9,9,0,1,,,,,
,,longFoil,STATION,TANGERINE,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,10,10,8,1,,,,,
1.6895,response_1,,SINGER,MERCURY,,,,,,VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_comp_project07.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,,,,,,0,1,1,19,1
0.8899,response_2,shortValid,CEREAL,CATHEDRAL,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd43be7a0dec9d13806f6a,18,Female,Right handed,2021-07-26_20h59.58.244,MA Experiment 2,2021.1.2,Win32,59.60185958,0,11,11,15,1,,,,,
