response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.2923,response_2,shortValid,CABIN,CANDLELIGHT,0,0,0,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.2294,response_2,shortValid,DECOY,TANGERINE,0,1,1,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.146,response_2,shortFoil,MEASLES,MEDICINE,0,2,2,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.2292,response_2,longValid,SULPHUR,AMMONIA,0,3,3,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.1816,response_2,longFoil,HURDLE,CATHEDRAL,0,4,4,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.3467,response_2,shortValid,WINDOW,INSTRUCTOR,0,5,5,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.4308,response_2,longValid,PIPING,DISSECTION,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
1.6957,response_1,shortValid,FEVER,GALLERY,0,7,7,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
2.2965,response_1,shortFoil,BERRY,MOLECULE,0,8,8,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
2.7302,response_2,longValid,NECKLACE,HEROIN,0,9,9,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd50f818928248f1a88449,24,Female,Right handed,2021-07-26_21h00.03.260,MA Experiment 2,2021.1.2,Win32,59.99880002,,,,,,,,,,
