response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
3.9726,response_1,shortValid,SEGMENT,INFECTION,0,0,0,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.2054,response_2,shortValid,PRINCESS,ASBESTOS,0,1,1,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
2.3108,response_2,shortValid,EARTHWORM,APPLIANCE,0,2,2,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
3.169,response_2,shortValid,CRYSTAL,FAMILY,0,3,3,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
3.2087,response_1,shortFoil,BERRY,TEMPERATURE,0,4,4,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
0.7781,response_2,longFoil,INCOME,LECTURER,0,5,5,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
2.787,response_2,shortFoil,NEIGHBOUR,CORRIDOR,0,6,6,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.7446,response_1,shortValid,TORTURE,ALCOHOL,0,7,7,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.0492,response_2,shortValid,BEETLE,HOSPITAL,0,8,8,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.6621,response_1,longFoil,WRITING,INJURY,0,9,9,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.5404,response_1,shortValid,NECKLACE,LEMONADE,0,10,10,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
2.0008,response_2,longFoil,MEDICINE,FISHERMAN,0,11,11,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,,,,,
1.5403,response_1,shortFoil,DIVING,COMMITTEE,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,0,0,0,31,1,,,,,
1.2246,response_1,longFoil,STOCKING,GALLERY,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,0,1,1,5,1,,,,,
1.577,response_1,longFoil,DIAL,GRASSHOPPER,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,0,2,2,0,1,,,,,
1.4748,response_2,,FATHER,POLICEMAN,,,,,,JOURNAL,ROBBERY,long,resources/sound/catchTrials/audio_control_human_project02.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,,,,,,0,27,27,29,1
1.2223,response_2,longValid,MORNING,MINISTER,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd592b0512900d8f937ee1,18,Female,Left handed,2021-07-26_20h48.49.562,MA Experiment 2,2021.1.2,Win32,144.7178003,0,3,3,28,1,,,,,
