response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
3.0091,response_2,longValid,INVOICE,MOLECULE,0,0,0,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.9937,response_1,longValid,STOCKING,CAMERA,0,1,1,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.4115,response_2,shortValid,BURNER,GOVERNMENT,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
0.5942,response_2,shortFoil,CIGAR,CORRIDOR,0,3,3,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.1779,response_2,longFoil,BERRY,HURRICANE,0,4,4,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.6278,response_2,longValid,PATIENT,MINERAL,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.312,response_2,shortFoil,BUTTER,SAXOPHONE,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.9285,response_1,shortValid,BISHOP,MERCURY,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
0.7281,response_1,shortValid,OLIVE,DIAMOND,0,8,8,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.412,response_1,shortFoil,MISTRESS,UMBRELLA,0,9,9,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
2.0454,response_2,shortValid,VALLEY,HEADQUARTERS,0,10,10,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.6288,response_2,longFoil,KETTLE,ALCOHOL,0,11,11,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,,,,,,,,,,
1.8615,response_1,shortFoil,LIGHTNING,STRAWBERRY,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,0,0,0,24,1,,,,,
1.7431,response_1,longFoil,LEADER,DESTROYER,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,0,1,1,21,1,,,,,
1.0953,response_2,longFoil,PRINCESS,CROCODILE,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd7e00d473aab9ce3a8b39,18,Female,Right handed,2021-07-26_20h42.43.724,MA Experiment 2,2021.1.2,Win32,60.35003017,0,2,2,23,1,,,,,
