response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortFoil,MUSCLE,MONUMENT,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
3.5724,response_2,shortValid,DIAL,ENVELOPE,0,1,1,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
0.7882,response_1,longFoil,BEETLE,ENAMEL,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
0.8548,response_2,longFoil,SADDLE,MERCURY,0,3,3,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.2377,response_1,longFoil,EARTHWORM,MINERAL,0,4,4,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.4885,response_2,longValid,CAPTAIN,INSTITUTE,0,5,5,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.9388,response_2,shortFoil,LIQUID,RETAILER,0,6,6,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.3059,response_1,longFoil,NAPKIN,INJURY,0,7,7,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.8554,response_2,shortFoil,SODA,DIAMOND,0,8,8,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.1546,response_1,shortFoil,STOCKING,PHYSICIAN,0,9,9,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd864f5093aed71238e08e,23,Female,Right handed,2021-07-26_20h58.45.334,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
