response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.746,response_2,longFoil,BEETLE,INSTRUCTOR,0,0,0,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
2.028,response_2,shortFoil,HARBOUR,LEMONADE,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
2.829,response_1,longFoil,SOFA,FAMILY,0,2,2,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.128,response_2,longFoil,WINDOW,CAPITAL,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.829,response_2,shortFoil,LIQUID,ADMIRAL,0,4,4,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
0.996,response_1,shortValid,SINGER,INJURY,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.446,response_2,longValid,MUSCLE,GORILLA,0,6,6,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.28,response_2,longValid,DWELLER,UMBRELLA,0,7,7,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.596,response_2,shortFoil,BUTTER,INTERVIEW,0,8,8,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.247,response_2,longFoil,NATIVE,BUTTERFLY,0,9,9,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.228,response_1,shortValid,NURSERY,GRASSHOPPER,0,10,10,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
1.493,response_1,shortValid,MISTRESS,COMMITTEE,0,11,11,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,,,,,,,,,,
2.062,response_2,shortValid,POLO,SAXOPHONE,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,0,0,0,19,1,,,,,
1.364,response_1,shortValid,LOBSTER,OPENING,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,0,1,1,2,1,,,,,
2.146,response_1,shortValid,FOREARM,FURNITURE,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd866a4ae37ceb4179e113,18,Female,Right handed,2021-07-26_20h58.45.503,MA Experiment 2,2021.1.2,MacIntel,55.55555556,0,2,2,10,1,,,,,
