response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.7047,response_2,longValid,TUMBLE,NEIGHBOURHOOD,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.4093,response_1,shortFoil,GRADUATE,LECTURER,0,1,1,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.5252,response_2,shortValid,PRINCESS,CAPITAL,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
2.3905,response_2,shortFoil,EVENING,ENAMEL,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
2.3415,response_2,longFoil,BURNER,CLARINET,0,4,4,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
2.459,response_2,shortFoil,NEIGHBOUR,ATTENDANT,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.5418,response_2,shortFoil,SADDLE,GOVERNMENT,0,6,6,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
2.3084,response_2,shortValid,TEMPLE,CONVENTION,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.6085,response_1,longFoil,WINDOW,HOSPITAL,0,8,8,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.808,response_2,longValid,CHIPMUNK,MOLECULE,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
1.7419,response_1,longFoil,EARTHWORM,DISSECTION,0,10,10,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd8e76456640e5ba259d5f,18,Male,Right handed,2021-07-26_21h07.24.273,MA Experiment 2,2021.1.2,Win32,60.01680471,,,,,,,,,,
