response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.1882,response_2,longFoil,CIGAR,CONVENTION,0,0,0,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
2.6277,response_1,longFoil,TRAITOR,FACTORY,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.5449,response_2,shortValid,CRYSTAL,ICICLE,0,2,2,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.5289,response_2,shortFoil,EVENING,CANDLELIGHT,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.1596,response_1,shortValid,CAPTAIN,OXYGEN,0,4,4,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.3594,response_2,longFoil,LOBSTER,CHOCOLATE,0,5,5,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
2.088,response_2,longFoil,BURNER,CORRIDOR,0,6,6,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.6213,response_2,shortFoil,MISTRESS,PHOTOGRAPH,0,7,7,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
1.3648,response_1,longFoil,SCOOTER,LEMONADE,0,8,8,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
0.9136,response_1,longFoil,DIVING,MOSQUITO,0,9,9,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd970d6c2495cd7188ebfe,19,Non-binary,Right handed,2021-07-26_20h59.25.031,MA Experiment 2,2021.1.2,Win32,30.01290555,,,,,,,,,,
