response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.131,response_2,longValid,DOORWAY,PROFESSOR,0,0,0,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
,,longValid,BEETLE,INSTRUMENT,0,1,1,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.431,response_2,shortFoil,BUTTER,MONUMENT,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.21,response_2,longFoil,CANTEEN,HURRICANE,0,3,3,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.142,response_2,shortValid,NURSERY,CITIZEN,0,4,4,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.544,response_2,shortFoil,EARTHWORM,CAPITAL,0,5,5,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
2.071,response_2,shortFoil,MISTRESS,INSTITUTE,0,6,6,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
0.896,response_1,longValid,PERSON,MEDICINE,0,7,7,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.743,response_2,longFoil,FATHER,MOLECULE,0,8,8,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
0.828,response_2,longValid,WRITING,INTERVIEW,0,9,9,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.511,response_2,shortValid,RUSTY,TANGERINE,0,10,10,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.862,response_2,shortFoil,LEADER,MICROSCOPE,0,11,11,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.443,response_1,shortValid,SHOULDER,DISSECTION,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,0,0,14,1,,,,,
1.13,response_1,longValid,BERRY,ENVELOPE,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,1,1,17,1,,,,,
1.064,response_1,shortValid,HAMMER,CATHEDRAL,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,2,2,21,1,,,,,
1.611,response_1,,BURNER,ASBESTOS,,,,,,POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,28,28,9,1
1.327,response_1,shortValid,GRADUATE,GOVERNMENT,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,3,3,28,1,,,,,
2.23,response_1,shortFoil,SEGMENT,HOSPITAL,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,4,4,1,1,,,,,
1.027,response_2,longFoil,DIVING,GALLERY,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,5,5,32,1,,,,,
1.259,response_1,shortValid,DECOY,FURNITURE,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,6,6,0,1,,,,,
1.109,response_2,,TRAITOR,DESTROYER,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_human_project06.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,25,25,14,1
1.327,response_2,shortFoil,FERTILE,OXYGEN,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,7,7,6,1,,,,,
1.179,response_1,longValid,MEASLES,NEWSPAPER,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,8,8,27,1,,,,,
1.961,response_1,longValid,WIRE,NEIGHBOURHOOD,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,9,9,9,1,,,,,
1.246,response_1,shortValid,SODA,PROPELLER,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,10,10,29,1,,,,,
1.426,response_1,,LOBSTER,ENAMEL,,,,,,JUGGLER,DANDELION,short,resources/sound/catchTrials/audio_control_human_project09.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,9,9,15,1
1.611,response_2,longValid,MURAL,MERCURY,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,11,11,24,1,,,,,
1.06,response_1,longValid,SOFA,OPENING,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,12,12,3,1,,,,,
1.178,response_2,shortValid,POLO,POLICEMAN,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,13,13,23,1,,,,,
0.492,response_1,longValid,MOONLIGHT,INFECTION,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,14,14,5,1,,,,,
1.106,response_2,,DANCER,CORRIDOR,,,,,,BORDER,ALGEBRA,long,resources/sound/catchTrials/audio_control_comp_project00.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,30,30,16,1
1.778,response_1,longFoil,WINDOW,BUTTERFLY,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,15,15,2,1,,,,,
1.712,response_1,longFoil,SHEEPSKIN,CINNAMON,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,16,16,16,1,,,,,
1.143,response_1,shortValid,KERNEL,CLARINET,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,17,17,25,1,,,,,
0.975,response_1,longValid,RABBI,CARNATION,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,18,18,10,1,,,,,
1.311,response_2,,JURY,ICICLE,,,,,,HOBBY,COLONY,short,resources/sound/catchTrials/audio_control_human_project04.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,11,11,11,1
0.759,response_2,shortFoil,FEVER,TEMPERATURE,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,19,19,18,1,,,,,
1.142,response_1,longValid,SINGER,MINERAL,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,20,20,22,1,,,,,
1.224,response_2,longValid,NAPKIN,GORILLA,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,21,21,15,1,,,,,
0.922,response_1,shortFoil,KETTLE,CANDLELIGHT,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,0,22,22,8,1,,,,,
1.545,response_2,,INVOICE,ATHLETICS,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fd9ace796a297c6358e5ef,19,Female,Right handed,2021-07-26_21h02.33.304,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,0,0,6,1
