response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
3.8405,response_2,longFoil,VALLEY,INTERVIEW,0,0,0,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.9934,response_1,longFoil,FEVER,INFECTION,0,1,1,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.2699,response_2,longValid,LOBSTER,ATHLETICS,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
3.9211,response_1,longValid,WRITING,ENAMEL,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
2.3259,response_2,longFoil,CHIPMUNK,ICICLE,0,4,4,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
3.2686,response_2,longFoil,KENNEL,FIREWOOD,0,5,5,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.4587,response_2,longValid,BUTTER,CLARINET,0,6,6,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.255,response_2,longValid,DECOY,MONUMENT,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
2.0367,response_2,shortValid,INVOICE,INDUSTRY,0,8,8,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.7399,response_2,longFoil,RUSTY,ALPHABET,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
3.1595,response_2,shortFoil,KERNEL,PHYSICIAN,0,10,10,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.2391,response_2,shortFoil,SADDLE,HONEYMOON,0,11,11,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,,,,,
1.7625,response_2,longValid,TUMBLE,CAPITAL,,,,,,RUBBER,PROPERTY,short,resources/sound/trials/audio_stim_human0.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,0,0,12,1,,,,,
1.9219,response_1,shortFoil,BURNER,PROFESSOR,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,1,1,7,1,,,,,
2.6092,response_2,shortFoil,EVENING,INSTRUMENT,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,2,2,31,1,,,,,
1.0555,response_2,,PRINCESS,MINERAL,,,,,,HOBBY,COLONY,long,resources/sound/catchTrials/audio_control_human_project04.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,6,6,27,1
1.32,response_2,shortFoil,LIQUID,GYMNASTICS,,,,,,RECEIPT,LIMOUSINE,short,resources/sound/trials/audio_stim_comp40.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,3,3,2,1,,,,,
2.3206,response_2,shortFoil,VESSEL,ENVELOPE,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,4,4,22,1,,,,,
2.4556,response_1,shortValid,STOCKING,MINISTER,,,,,,CONCRETE,ENEMY,long,resources/sound/trials/audio_stim_human67.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,5,5,27,1,,,,,
1.2589,response_1,longFoil,HAMSTER,ACROBAT,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,6,6,30,1,,,,,
1.845,response_2,,NATIVE,GALLERY,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_human_project06.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,28,28,14,1
2.1562,response_1,longFoil,TRAITOR,FACTORY,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,7,7,3,1,,,,,
1.795,response_1,shortValid,NECKLACE,CANDLELIGHT,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,8,8,21,1,,,,,
1.9383,response_1,shortValid,HARBOUR,FAMILY,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,9,9,16,1,,,,,
1.3399,response_1,shortFoil,VILLAGE,PROPELLER,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,10,10,13,1,,,,,
0.9254,response_2,,DANCER,LEMONADE,,,,,,CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_human_project14.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,2,2,10,1
0.7249,response_2,longValid,PIANO,HEADQUARTERS,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,11,11,25,1,,,,,
1.7275,response_2,shortFoil,NOVEL,CABINET,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,12,12,6,1,,,,,
1.172,response_1,shortValid,MORNING,MICROSCOPE,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,13,13,28,1,,,,,
1.7387,response_1,longFoil,FERTILE,TEMPERATURE,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,14,14,26,1,,,,,
1.4603,response_2,,MURAL,AMMONIA,,,,,,IRIS,VIOLIN,short,resources/sound/catchTrials/audio_control_comp_project12.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,23,23,4,1
1.8391,response_2,longValid,OLIVE,OXYGEN,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,15,15,32,1,,,,,
2.4269,response_1,shortFoil,TEMPLE,INSTRUCTOR,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,16,16,19,1,,,,,
1.6954,response_1,shortFoil,DIAL,OPENING,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,17,17,20,1,,,,,
1.9072,response_1,longFoil,MEDICINE,RETAILER,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,18,18,0,1,,,,,
1.0237,response_1,,DIVING,AMBULANCE,,,,,,VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_human_project07.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,10,10,12,1
1.7965,response_1,shortValid,PIPING,CORRIDOR,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_comp6.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,19,19,1,1,,,,,
2.0419,response_2,shortFoil,PICTURE,DISSECTION,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,20,20,17,1,,,,,
2.0717,response_2,longFoil,MUSCLE,MOSQUITO,,,,,,CONCRETE,ENEMY,short,resources/sound/trials/audio_stim_human67.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,21,21,10,1,,,,,
1.2097,response_1,shortValid,NAPKIN,BUTTERFLY,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,22,22,18,1,,,,,
1.9362,response_1,,FAIRY,CARNATION,,,,,,POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,9,9,9,1
1.5395,response_1,longFoil,KETTLE,HURRICANE,,,,,,BRAINSTORM,GREEN NEEDLE,long,resources/sound/trials/audio_stim_original.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,23,23,33,1,,,,,
2.8881,response_2,longValid,PODIUM,GINGERBREAD,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,24,24,8,1,,,,,
1.2736,response_2,longValid,TWEEZER,PHOTOGRAPH,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,25,25,11,1,,,,,
3.7728,response_1,shortValid,WAFER,CAMERA,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,26,26,23,1,,,,,
2.0897,response_2,,WINDOW,HEROIN,,,,,,SPINACH,APRICOT,short,resources/sound/catchTrials/audio_control_comp_project18.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,18,18,5,1
2.2558,response_2,shortValid,PERSON,ABDOMEN,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,27,27,29,1,,,,,
1.8808,response_2,shortValid,CAPTAIN,CIGARETTE,,,,,,ROBBER,RATTLESNAKE,short,resources/sound/trials/audio_stim_human64.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,28,28,15,1,,,,,
2.5749,response_2,longValid,SOFA,CHOCOLATE,,,,,,SACRED,GALAXY,long,resources/sound/trials/audio_stim_comp1.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,29,29,24,1,,,,,
1.0738,response_1,shortValid,MOONLIGHT,CONVENTION,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,0,30,30,9,1,,,,,
1.8882,response_2,,NEIGHBOUR,FURNITURE,,,,,,ICY,JITTERBUG,short,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fd9b084a91f75f655da04f,18,Male,Left handed,2021-07-26_21h06.22.778,MA Experiment 2,2021.1.2,Linux x86_64,59.94485074,,,,,,0,7,7,7,1
