response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortFoil,PRINCESS,HONEYMOON,0,0,0,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
2.575,response_2,longValid,MISTRESS,OXYGEN,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
,,shortValid,TUMBLE,MERCURY,0,2,2,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.7156,response_2,longValid,PICTURE,POTATO,0,3,3,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.2895,response_2,longValid,TEMPLE,NEIGHBOURHOOD,0,4,4,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.4908,response_2,longValid,SODA,ALCOHOL,0,5,5,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.1731,response_2,shortFoil,DANCER,UMBRELLA,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.2074,response_2,longValid,LIQUID,FIREWOOD,0,7,7,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.3898,response_1,shortFoil,INVOICE,ICICLE,0,8,8,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
1.2534,response_2,shortFoil,RUSTY,POLICEMAN,0,9,9,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fd9f7caf1a4931e2ea3c15,19,Female,Right handed,2021-07-26_21h11.55.340,MA Experiment 2,2021.1.2,Win32,60.05645307,,,,,,,,,,
