response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,shortValid,ANCHOR,JANITOR,0,0,0,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
1.9764,response_2,shortValid,DECOY,POTATO,0,1,1,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
3.8767,response_1,shortFoil,BUTTER,GOVERNMENT,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
2.8162,response_2,longFoil,CIGAR,GORILLA,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
1.8481,response_2,shortValid,TEMPLE,FISHERMAN,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
1.3909,response_1,shortFoil,SEGMENT,MESSENGER,0,5,5,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
2.1738,response_2,longValid,RABBI,FIREWOOD,0,6,6,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
2.0228,response_2,longFoil,PRINCESS,DIAMOND,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
1.3964,response_1,shortValid,GRADUATE,GINGERBREAD,0,8,8,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
1.6687,response_2,longValid,CAPTAIN,HURRICANE,0,9,9,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fdb169b488e61fd32728d5,33,Male,Right handed,2021-07-26_20h56.04.093,MA Experiment 2,2021.1.2,Win32,59.85515054,,,,,,,,,,
