response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.3315,response_2,longValid,POLO,CARNATION,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
2.5012,response_1,longFoil,GRADUATE,AMMONIA,0,1,1,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
1.815,response_2,shortValid,CABIN,PROFESSOR,0,2,2,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
1.0979,response_2,longValid,SOFA,MOLECULE,0,3,3,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
3.4147,response_2,shortFoil,WAFER,STRAWBERRY,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
2.1474,response_2,longFoil,BEETLE,ENAMEL,0,5,5,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
1.3515,response_1,shortFoil,TUMBLE,PROPELLER,0,6,6,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
1.2315,response_2,longValid,WINDOW,FACTORY,0,7,7,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
3.0478,response_2,longFoil,HARBOUR,INSTRUMENT,0,8,8,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
1.2946,response_2,shortFoil,JURY,FAMILY,0,9,9,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fdb5f42a9cde17ef4958f2,18,Female,Right handed,2021-07-26_14h36.44.102,MA Experiment 2,2021.1.2,Win32,59.95922773,,,,,,,,,,
