response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
2.364,response_2,longFoil,BURNER,CITIZEN,0,0,0,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
,,shortFoil,RABBI,ACROBAT,0,1,1,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.796,response_1,shortFoil,HAMSTER,GRASSHOPPER,0,2,2,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
2.146,response_1,shortValid,CAPTAIN,MERCURY,0,3,3,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.264,response_1,shortFoil,DWELLER,ICICLE,0,4,4,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.397,response_2,shortFoil,CANTEEN,MICROSCOPE,0,5,5,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.163,response_2,longValid,SOFA,NEWSPAPER,0,6,6,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.03,response_2,longValid,DIVING,AVENUE,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.129,response_2,shortValid,SINGER,CONVENTION,0,8,8,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.763,response_2,longFoil,ANCHOR,ABDOMEN,0,9,9,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.347,response_2,longValid,WIRE,CARNATION,0,10,10,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
0.796,response_2,shortFoil,VALLEY,GYMNASTICS,0,11,11,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,,,,,
1.296,response_2,shortValid,KETTLE,CORRIDOR,,,,,,DAYLIGHT,MATERIAL,short,resources/sound/trials/audio_stim_human42.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,0,0,9,1,,,,,
1.08,response_2,longValid,HAMMER,HOSPITAL,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,1,1,6,1,,,,,
1.03,response_2,longFoil,CURFEW,CAPITAL,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,2,2,26,1,,,,,
1.112,response_2,,FEVER,BUTTERFLY,,,,,,JOURNAL,ROBBERY,short,resources/sound/catchTrials/audio_control_human_project02.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,0,0,13,1
1.464,response_2,shortFoil,HARBOUR,MINISTER,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,3,3,22,1,,,,,
1.063,response_1,shortValid,DUEL,BEVERAGE,,,,,,DRIZZLE,CARDINAL,long,resources/sound/trials/audio_stim_comp69.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,4,4,17,1,,,,,
0.896,response_2,shortValid,TORTURE,PROPELLER,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_comp6.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,5,5,18,1,,,,,
1.898,response_1,shortValid,PATIENT,DESTROYER,,,,,,PAINTER,VEHICLE,long,resources/sound/trials/audio_stim_human47.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,6,6,28,1,,,,,
0.946,response_2,,POLO,NEIGHBOURHOOD,,,,,,NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,19,19,6,1
0.797,response_1,shortValid,LOBSTER,CABINET,,,,,,RECEIPT,LIMOUSINE,long,resources/sound/trials/audio_stim_comp40.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,7,7,19,1,,,,,
2.012,response_2,shortFoil,INCOME,HEROIN,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,8,8,32,1,,,,,
1.145,response_2,longFoil,NECKLACE,AMBULANCE,,,,,,ATHLETE,IVORY,short,resources/sound/trials/audio_stim_comp57.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,9,9,5,1,,,,,
1.828,response_2,longFoil,STATION,COMMITTEE,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,10,10,16,1,,,,,
1.53,response_1,,JURY,LECTURER,,,,,,POISON,REVOLVER,long,resources/sound/catchTrials/audio_control_human_project01.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,,,,,,0,4,4,25,1
2.229,response_2,shortFoil,BISHOP,FIREWOOD,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,60fe828e99235efe5d258412,25,Female,Right handed,2021-07-27_16h33.33.126,MA Experiment 2,2021.1.2,MacIntel,62.5,0,11,11,29,1,,,,,
