response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.8755,response_1,longFoil,DIVING,MEDICINE,0,0,0,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.9969,response_2,shortFoil,SULPHUR,GORILLA,0,1,1,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.7621,response_2,shortFoil,FEVER,FURNITURE,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.146,response_2,longFoil,UNCLE,BEVERAGE,0,3,3,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.0281,response_2,longFoil,CURFEW,ACROBAT,0,4,4,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.3413,response_2,longFoil,CRYSTAL,ICICLE,0,5,5,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
2.0626,response_1,longValid,CIGAR,EMULSION,0,6,6,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
0.844,response_1,shortFoil,HARBOUR,ASBESTOS,0,7,7,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
2.5285,response_1,longFoil,NECKLACE,MECHANIC,0,8,8,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
0.7616,response_2,longValid,NEIGHBOUR,GYMNASTICS,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.6635,response_1,shortValid,SHOULDER,HEADQUARTERS,0,10,10,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
1.7432,response_1,shortValid,SHEEPSKIN,FISHERMAN,0,11,11,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,,,,,,,,,,
2.1786,response_1,shortFoil,TUMBLE,CROCODILE,,,,,,ATHLETE,IVORY,long,resources/sound/trials/audio_stim_comp57.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,0,0,0,22,1,,,,,
0.7299,response_2,longValid,CANTEEN,POTATO,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fed80971be797422983d90,22,Female,Right handed,2021-07-26_20h50.48.459,MA Experiment 2,2021.1.2,Win32,59.57345407,0,1,1,23,1,,,,,
