response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
3.7013,response_1,shortValid,FEVER,CROCODILE,0,0,0,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
2.549,response_1,longFoil,PICTURE,INSTRUMENT,0,1,1,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
2.2976,response_1,shortValid,FATHER,PROPELLER,0,2,2,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
0.8473,response_2,longValid,TEMPLE,ATTENDANT,0,3,3,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
2.7386,response_1,shortFoil,UNCLE,ABDOMEN,0,4,4,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
1.2139,response_1,longFoil,OLIVE,LEMONADE,0,5,5,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
1.1813,response_2,shortValid,SHEEPSKIN,HOSPITAL,0,6,6,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
1.0041,response_1,longFoil,DUEL,RETAILER,0,7,7,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
1.7809,response_2,shortFoil,LIGHTNING,ENVELOPE,0,8,8,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
1.2326,response_2,shortValid,WINDOW,MINISTER,0,9,9,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
0.8798,response_2,shortValid,HARBOUR,HURRICANE,0,10,10,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fee09c94ce55d8e1fde8be,20,Male,Right handed,2021-07-26_21h05.23.358,MA Experiment 2,2021.1.2,MacIntel,59.94125757,,,,,,,,,,
