response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
,,longValid,SOFA,VINEGAR,0,0,0,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
,,shortValid,MISTRESS,CROCODILE,0,1,1,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
0.6769,response_2,shortValid,PRINCESS,INSTRUCTOR,0,2,2,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.3454,response_2,shortValid,NEIGHBOUR,FURNITURE,0,3,3,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.845,response_2,longValid,LOBSTER,MOSQUITO,0,4,4,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.0562,response_1,shortFoil,INCOME,PROJECTOR,0,5,5,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
2.7239,response_2,shortValid,RUSTY,CINNAMON,0,6,6,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.0772,response_2,longFoil,PODIUM,ATTENDANT,0,7,7,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.8586,response_2,longValid,HAMSTER,MOLECULE,0,8,8,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.0765,response_1,longValid,CANTEEN,POLIO,0,9,9,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.2947,response_2,longValid,SADDLE,ANTIQUE,0,10,10,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.5594,response_2,longFoil,SINGER,HEADQUARTERS,0,11,11,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,,,,,
1.0429,response_2,shortFoil,MURDER,NEIGHBOURHOOD,,,,,,WORKER,VISITOR,long,resources/sound/trials/audio_stim_comp17.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,0,0,23,1,,,,,
2.3425,response_2,shortFoil,FERTILE,CAMERA,,,,,,BRAINSTORM,GREEN NEEDLE,short,resources/sound/trials/audio_stim_original.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,1,1,16,1,,,,,
1.1764,response_2,shortFoil,STOCKING,INTERVIEW,,,,,,PARTY,SANCTUARY,short,resources/sound/trials/audio_stim_human50.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,2,2,14,1,,,,,
1.8459,response_1,,EVENING,BUTTERFLY,,,,,,POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,20,20,9,1
1.9768,response_1,longValid,FEVER,APPLIANCE,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,3,3,7,1,,,,,
1.9599,response_2,shortValid,WRITING,TEMPERATURE,,,,,,DAYLIGHT,MATERIAL,long,resources/sound/trials/audio_stim_human42.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,4,4,26,1,,,,,
2.1085,response_2,shortValid,MUSCLE,HOSPITAL,,,,,,WHISTLE,TREASURER,short,resources/sound/trials/audio_stim_comp12.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,5,5,3,1,,,,,
1.4974,response_2,shortFoil,CABIN,UMBRELLA,,,,,,PARTY,SANCTUARY,long,resources/sound/trials/audio_stim_human50.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,6,6,31,1,,,,,
1.5751,response_2,,NURSERY,PROPELLER,,,,,,ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,,,,,,0,10,10,23,1
1.9923,response_1,shortFoil,SHOULDER,ABDOMEN,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,7,7,0,1,,,,,
1.4595,response_1,shortFoil,OFFICE,DISSECTION,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,8,8,20,1,,,,,
1.8269,response_1,shortFoil,CRYSTAL,LEMONADE,,,,,,PAINTER,VEHICLE,short,resources/sound/trials/audio_stim_human47.mp3,60fef1ffa5ae99797bc2e659,27,Male,Left handed,2021-07-26_20h50.11.326,MA Experiment 2,2021.1.2,MacIntel,60.0024001,0,9,9,11,1,,,,,
