response.time,response,cueTarget,rand_foil_1,rand_foil_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,word_1,word_2,cue,file_path,participant,age,gender,handedness,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,catchTrials.thisRepN,catchTrials.thisTrialN,catchTrials.thisN,catchTrials.thisIndex,catchTrials.ran
1.662,response_2,longValid,KERNEL,RETAILER,0,0,0,3,1,EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.8478,response_2,shortFoil,SCOOTER,MECHANIC,0,1,1,0,1,AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.5759,response_1,shortValid,NECKLACE,POLICEMAN,0,2,2,8,1,DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
0.4785,response_2,shortFoil,POLO,CONVENTION,0,3,3,4,1,FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.8897,response_2,longFoil,SULPHUR,BUTTERFLY,0,4,4,9,1,GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
3.9869,response_1,longValid,PRINCESS,PROFESSOR,0,5,5,10,1,SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.4655,response_1,shortValid,WIRE,ABDOMEN,0,6,6,11,1,KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.7504,response_1,longFoil,LIQUID,HONEYMOON,0,7,7,6,1,VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.1144,response_2,shortFoil,BEETLE,CHOCOLATE,0,8,8,5,1,NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
0.7978,response_2,longValid,FOREARM,ACROBAT,0,9,9,2,1,RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.9242,response_2,shortFoil,MURDER,CATHEDRAL,0,10,10,7,1,BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
0.4649,response_2,longValid,DOORWAY,OXYGEN,0,11,11,1,1,CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,,,,,
1.1465,response_2,longValid,PIPING,OPENING,,,,,,WORKER,VISITOR,short,resources/sound/trials/audio_stim_comp17.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,0,0,6,1,,,,,
1.2728,response_2,longValid,FAIRY,AMBULANCE,,,,,,ROBBER,RATTLESNAKE,long,resources/sound/trials/audio_stim_human64.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,1,1,31,1,,,,,
1.8689,response_2,longValid,EVENING,INJURY,,,,,,WHISTLE,TREASURER,long,resources/sound/trials/audio_stim_comp12.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,2,2,19,1,,,,,
1.0481,response_1,,UNCLE,DISSECTION,,,,,,VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_human_project07.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,0,23,23,28,1
2.5227,response_2,shortValid,TRAITOR,ORNAMENT,,,,,,HARDWARE,OVERCOAT,long,resources/sound/trials/audio_stim_human35.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,3,3,24,1,,,,,
1.8958,response_2,longValid,ANCHOR,FACTORY,,,,,,MINER,EMERALD,short,resources/sound/trials/audio_stim_human6.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,4,4,13,1,,,,,
1.9868,response_1,shortFoil,STATION,MOSQUITO,,,,,,DRIZZLE,CARDINAL,short,resources/sound/trials/audio_stim_comp69.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,5,5,0,1,,,,,
1.2774,response_2,shortFoil,CANTEEN,PROJECTOR,,,,,,RUBBER,PROPERTY,long,resources/sound/trials/audio_stim_human0.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,6,6,28,1,,,,,
1.5869,response_2,,MEASLES,COMMITTEE,,,,,,SPINACH,APRICOT,short,resources/sound/catchTrials/audio_control_comp_project18.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,,,,,,0,14,14,5,1
1.1316,response_1,shortFoil,DIAL,ENVELOPE,,,,,,MINER,EMERALD,long,resources/sound/trials/audio_stim_human6.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,7,7,29,1,,,,,
1.9455,response_1,shortFoil,CHIPMUNK,INSTITUTE,,,,,,MARBLE,CUSTOMER,long,resources/sound/trials/audio_stim_comp65.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,8,8,20,1,,,,,
1.1175,response_2,longValid,MORNING,HOSPITAL,,,,,,SACRED,GALAXY,short,resources/sound/trials/audio_stim_comp1.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,9,9,7,1,,,,,
2.9356,response_2,shortFoil,SHOULDER,GORILLA,,,,,,HARDWARE,OVERCOAT,short,resources/sound/trials/audio_stim_human35.mp3,ns0,23,Male,Right handed,2021-07-26_12h59.30.854,MA Experiment 2,2021.1.2,Win32,141.6430595,0,10,10,8,1,,,,,
