word_1,word_2,cue,file_path
BORDER,ALGEBRA,,resources/sound/catchTrials/audio_control_comp_project00.mp3
CORNER,ENGINEER,,resources/sound/catchTrials/audio_control_comp_project14.mp3
HOBBY,COLONY,,resources/sound/catchTrials/audio_control_comp_project04.mp3
VIOLET,LUBRICANT,,resources/sound/catchTrials/audio_control_comp_project07.mp3
IRIS,VIOLIN,,resources/sound/catchTrials/audio_control_comp_project12.mp3
SPINACH,APRICOT,,resources/sound/catchTrials/audio_control_comp_project18.mp3
NAVY,RECTANGLE,,resources/sound/catchTrials/audio_control_comp_project06.mp3
ICY,JITTERBUG,,resources/sound/catchTrials/audio_control_comp_project08.mp3
IRIS,VIOLIN,,resources/sound/catchTrials/audio_control_human_project12.mp3
POISON,REVOLVER,,resources/sound/catchTrials/audio_control_human_project01.mp3
CORNER,ENGINEER,,resources/sound/catchTrials/audio_control_human_project14.mp3
HOBBY,COLONY,,resources/sound/catchTrials/audio_control_human_project04.mp3
VIOLET,LUBRICANT,,resources/sound/catchTrials/audio_control_human_project07.mp3
JOURNAL,ROBBERY,,resources/sound/catchTrials/audio_control_human_project02.mp3
NAVY,RECTANGLE,,resources/sound/catchTrials/audio_control_human_project06.mp3
JUGGLER,DANDELION,,resources/sound/catchTrials/audio_control_human_project09.mp3
