word_1,word_2,cue,file_path
AARDVARK,FALLACY,y,resources/sound/prac_trials/practice_cue0.mp3
CABLE,REPUBLIC,y,resources/sound/prac_trials/practice_cue_human1.mp3
RECENT,TOBACCO,y,resources/sound/prac_trials/practice_cue2.mp3
EAGER,QUALIFY,y,resources/sound/prac_trials/practice_cue_human3.mp3
FIZZY,ELECTRIC,y,resources/sound/prac_trials/practice_cue4.mp3
NONSENSE,OASIS,y,resources/sound/prac_trials/practice_cue_human5.mp3
VACANT,SALVATION,y,resources/sound/prac_trials/practice_cue6.mp3
BUCKLE,WALLABY,y,resources/sound/prac_trials/practice_cue_human7.mp3
DAGGER,EMPHASIS,y,resources/sound/prac_trials/practice_cue8.mp3
GRUMPY,LABYRINTH,,resources/sound/prac_trials/practice_cue_human9.mp3
SAFFRON,JAVELIN,,resources/sound/prac_trials/practice_cue10.mp3
KETCHUP,GONDOLA,,resources/sound/prac_trials/practice_cue_human11.mp3
