word_1,word_2,cue,file_path
BORDER,ALGEBRA,short,resources/sound/catchTrials/audio_control_comp_project00.mp3
CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_comp_project14.mp3
HOBBY,COLONY,short,resources/sound/catchTrials/audio_control_comp_project04.mp3
VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_comp_project07.mp3
IRIS,VIOLIN,short,resources/sound/catchTrials/audio_control_comp_project12.mp3
SPINACH,APRICOT,short,resources/sound/catchTrials/audio_control_comp_project18.mp3
NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_comp_project06.mp3
ICY,JITTERBUG,short,resources/sound/catchTrials/audio_control_comp_project08.mp3
IRIS,VIOLIN,short,resources/sound/catchTrials/audio_control_human_project12.mp3
POISON,REVOLVER,short,resources/sound/catchTrials/audio_control_human_project01.mp3
CORNER,ENGINEER,short,resources/sound/catchTrials/audio_control_human_project14.mp3
HOBBY,COLONY,short,resources/sound/catchTrials/audio_control_human_project04.mp3
VIOLET,LUBRICANT,short,resources/sound/catchTrials/audio_control_human_project07.mp3
JOURNAL,ROBBERY,short,resources/sound/catchTrials/audio_control_human_project02.mp3
NAVY,RECTANGLE,short,resources/sound/catchTrials/audio_control_human_project06.mp3
JUGGLER,DANDELION,short,resources/sound/catchTrials/audio_control_human_project09.mp3
BORDER,ALGEBRA,long,resources/sound/catchTrials/audio_control_comp_project00.mp3
CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_comp_project14.mp3
HOBBY,COLONY,long,resources/sound/catchTrials/audio_control_comp_project04.mp3
VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_comp_project07.mp3
IRIS,VIOLIN,long,resources/sound/catchTrials/audio_control_comp_project12.mp3
SPINACH,APRICOT,long,resources/sound/catchTrials/audio_control_comp_project18.mp3
NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_comp_project06.mp3
ICY,JITTERBUG,long,resources/sound/catchTrials/audio_control_comp_project08.mp3
IRIS,VIOLIN,long,resources/sound/catchTrials/audio_control_human_project12.mp3
POISON,REVOLVER,long,resources/sound/catchTrials/audio_control_human_project01.mp3
CORNER,ENGINEER,long,resources/sound/catchTrials/audio_control_human_project14.mp3
HOBBY,COLONY,long,resources/sound/catchTrials/audio_control_human_project04.mp3
VIOLET,LUBRICANT,long,resources/sound/catchTrials/audio_control_human_project07.mp3
JOURNAL,ROBBERY,long,resources/sound/catchTrials/audio_control_human_project02.mp3
NAVY,RECTANGLE,long,resources/sound/catchTrials/audio_control_human_project06.mp3
JUGGLER,DANDELION,long,resources/sound/catchTrials/audio_control_human_project09.mp3
