word_1,word_2,cue,file_path
AARDVARK,FALLACY,short,resources/sound/prac_trials/practice_cue0.mp3
CABLE,REPUBLIC,short,resources/sound/prac_trials/practice_cue_human1.mp3
RECENT,TOBACCO,short,resources/sound/prac_trials/practice_cue2.mp3
EAGER,QUALIFY,short,resources/sound/prac_trials/practice_cue_human3.mp3
FIZZY,ELECTRIC,short,resources/sound/prac_trials/practice_cue4.mp3
NONSENSE,OASIS,short,resources/sound/prac_trials/practice_cue_human5.mp3
VACANT,SALVATION,long,resources/sound/prac_trials/practice_cue6.mp3
BUCKLE,WALLABY,long,resources/sound/prac_trials/practice_cue_human7.mp3
DAGGER,EMPHASIS,long,resources/sound/prac_trials/practice_cue8.mp3
GRUMPY,LABYRINTH,long,resources/sound/prac_trials/practice_cue_human9.mp3
SAFFRON,JAVELIN,long,resources/sound/prac_trials/practice_cue10.mp3
KETCHUP,GONDOLA,long,resources/sound/prac_trials/practice_cue_human11.mp3
